Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,5878397.52,25963.95,71.824,62.169,226.41
Other Fresh Fruits,629816.44,3615.17,7.695,8.656,174.21
Alcoholic Beverages,283096.37,2806.74,3.459,6.721,100.86
Miscellaneous Preparations,186123.68,1824.6,2.274,4.369,102.01
Cocoa Products,56424.69,1398.91,0.689,3.35,40.33
Others (Betel Leaves & Nuts),67849.14,1033.62,0.829,2.475,65.64
"Processed Fruits, Juices & Nuts",53784.24,879.4,0.657,2.106,61.16
Wheat,516166.56,870.0,6.307,2.083,593.29
Fruits & Vegetables Seeds,14328.07,703.03,0.175,1.683,20.38
Cereal Preparations,61392.61,572.6,0.75,1.371,107.22
Jaggery & Confectionery,72927.53,539.27,0.891,1.291,135.23
Dairy Products,16986.74,322.3,0.208,0.772,52.7
Maize,181763.94,291.77,2.221,0.699,622.97
Fresh Onions,87323.61,201.13,1.067,0.482,434.17
Processed Vegetables,16844.84,132.63,0.206,0.318,127.01
Floriculture,4768.81,114.4,0.058,0.274,41.69
Walnuts,5490.73,107.03,0.067,0.256,51.3
Albumin( Eggs & Milk ),2207.73,90.65,0.027,0.217,24.35
Fresh Grapes,5217.36,84.49,0.064,0.202,61.75
Other Cereals,24147.72,52.19,0.295,0.125,462.69
Casein,823.66,39.2,0.01,0.094,21.01
Poultry Products,869.27,26.42,0.011,0.063,32.9
Milled Products,4393.66,21.4,0.054,0.051,205.31
Other Fresh Vegetables,10181.7,17.5,0.124,0.042,581.81
Other Meat,499.89,17.18,0.006,0.041,29.1
Guargum,634.63,13.93,0.008,0.033,45.56
Natural Honey,423.01,9.34,0.005,0.022,45.29
Non Basmati Rice,1020.13,5.91,0.012,0.014,172.61
Sheep/Goat Meat,57.35,4.8,0.001,0.011,11.95
Processed Meat,72.1,2.75,0.001,0.007,26.22
Millet,234.0,0.35,0.003,0.001,668.57
Groundnuts,106.43,0.31,0.001,0.001,343.32
Cucumber and Gherkins( Prepd. &  Presvd),22.46,0.24,0.0,0.001,93.58
Mango Pulp,19.22,0.21,0.0,0.001,91.52
Fresh Mangoes,0.95,0.01,0.0,0.0,95.0
Total,8184416.79,41763.43,100.0,100.0,195.97
