Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,2777827.82,7512.49,66.455,51.598,369.76
Other Fresh Fruits,465013.94,1617.41,11.125,11.109,287.51
Alcoholic Beverages,139058.07,973.06,3.327,6.683,142.91
Dairy Products,54334.61,822.41,1.3,5.649,66.07
Jaggery & Confectionery,166352.0,675.11,3.98,4.637,246.41
Miscellaneous Preparations,116702.79,641.66,2.792,4.407,181.88
Cocoa Products,33802.27,584.21,0.809,4.013,57.86
"Processed Fruits, Juices & Nuts",35929.13,303.53,0.86,2.085,118.37
Fruits & Vegetables Seeds,11139.67,291.22,0.266,2.0,38.25
Wheat,185280.33,255.84,4.433,1.757,724.2
Cereal Preparations,37723.72,243.43,0.902,1.672,154.97
Others (Betel Leaves & Nuts),69593.7,235.12,1.665,1.615,295.99
Processed Vegetables,22888.27,129.28,0.548,0.888,177.04
Floriculture,2589.42,45.48,0.062,0.312,56.94
Maize,16312.44,40.01,0.39,0.275,407.71
Fresh Grapes,3340.05,33.38,0.08,0.229,100.06
Fresh Onions,12506.13,30.71,0.299,0.211,407.23
Albumin( Eggs & Milk ),591.17,22.43,0.014,0.154,26.36
Natural Honey,2654.18,19.52,0.063,0.134,135.97
Other Cereals,11454.72,15.5,0.274,0.106,739.01
Poultry Products,566.09,14.46,0.014,0.099,39.15
Milled Products,3740.38,10.96,0.089,0.075,341.28
Other Fresh Vegetables,4045.75,9.73,0.097,0.067,415.8
Processed Meat,778.57,7.56,0.019,0.052,102.99
Other Meat,344.43,6.95,0.008,0.048,49.56
Casein,150.34,5.91,0.004,0.041,25.44
Millet,2914.3,4.02,0.07,0.028,724.95
Guargum,87.72,2.66,0.002,0.018,32.98
Groundnuts,1737.0,1.8,0.042,0.012,965.0
Walnuts,139.6,1.5,0.003,0.01,93.07
Non Basmati Rice,187.34,0.92,0.004,0.006,203.63
Sheep/Goat Meat,29.7,0.85,0.001,0.006,34.94
Cucumber and Gherkins( Prepd. &  Presvd),102.93,0.41,0.002,0.003,251.05
Fresh Mangoes,90.57,0.21,0.002,0.001,431.29
Total,4180009.15,14559.74,100.0,100.0,287.09
