Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,2529815.01,15985.85,37.169,24.198,158.25
Cashew Kernels,1332173.08,14369.51,19.573,21.751,92.71
Other Fresh Fruits,1116245.24,6870.62,16.4,10.4,162.47
Alcoholic Beverages,324285.63,6151.85,4.765,9.312,52.71
Miscellaneous Preparations,368619.64,3847.46,5.416,5.824,95.81
Cocoa Products,128654.28,3530.76,1.89,5.345,36.44
Prepared Animal Feeder,156017.98,3088.87,2.292,4.676,50.51
Others (Betel Leaves & Nuts),73982.65,2051.34,1.087,3.105,36.07
"Processed Fruits, Juices & Nuts",88217.86,1862.0,1.296,2.819,47.38
Cereal Preparations,107923.98,1711.03,1.586,2.59,63.08
Jaggery & Confectionery,75502.95,1166.27,1.109,1.765,64.74
Fruits & Vegetables Seeds,27351.48,1153.56,0.402,1.746,23.71
Albumin( Eggs & Milk ),12461.69,1120.25,0.183,1.696,11.12
Other Cereals,288264.01,1057.78,4.235,1.601,272.52
Walnuts,37677.7,510.58,0.554,0.773,73.79
Dairy Products,13975.81,329.75,0.205,0.499,42.38
Processed Vegetables,24746.57,301.32,0.364,0.456,82.13
Floriculture,8895.17,285.21,0.131,0.432,31.19
Fresh Grapes,11992.87,130.87,0.176,0.198,91.64
Maize,16731.68,88.92,0.246,0.135,188.17
Casein,1007.54,85.3,0.015,0.129,11.81
Other Fresh Vegetables,20445.22,58.67,0.3,0.089,348.48
Wheat,13570.37,46.12,0.199,0.07,294.24
Non Basmati Rice,6711.06,43.99,0.099,0.067,152.56
Poultry Products,284.81,42.81,0.004,0.065,6.65
Other Meat,937.35,38.47,0.014,0.058,24.37
Natural Honey,914.22,29.39,0.013,0.044,31.11
Guargum,920.4,20.91,0.014,0.032,44.02
Milled Products,3871.58,20.28,0.057,0.031,190.91
Sheep/Goat Meat,215.8,17.24,0.003,0.026,12.52
Other Oil Cake/Solid Resdus,9053.02,15.29,0.133,0.023,592.09
Groundnuts,1203.11,12.87,0.018,0.019,93.48
Cashewnut Shell Liquid,3065.99,10.77,0.045,0.016,284.68
Processed Meat,46.05,2.74,0.001,0.004,16.81
Fresh Mangoes,62.4,1.79,0.001,0.003,34.86
Millet,293.12,1.17,0.004,0.002,250.53
Cucumber and Gherkins( Prepd. &  Presvd),100.04,1.06,0.001,0.002,94.38
Cardanol,0.5,0.37,0.0,0.001,1.35
Total,6806237.86,66063.04,100.0,100.0,103.03
