Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,4019695.04,13357.44,77.483,58.905,300.93
Other Fresh Fruits,659993.1,3072.2,12.722,13.548,214.83
Alcoholic Beverages,44011.92,1344.98,0.848,5.931,32.72
Miscellaneous Preparations,148569.69,1148.08,2.864,5.063,129.41
Cocoa Products,53331.11,1049.25,1.028,4.627,50.83
"Processed Fruits, Juices & Nuts",42064.69,560.15,0.811,2.47,75.1
Fruits & Vegetables Seeds,16045.49,471.1,0.309,2.078,34.06
Jaggery & Confectionery,32273.76,398.59,0.622,1.758,80.97
Cereal Preparations,50428.01,359.98,0.972,1.587,140.09
Dairy Products,7417.44,166.54,0.143,0.734,44.54
Processed Vegetables,20039.36,162.18,0.386,0.715,123.56
Others (Betel Leaves & Nuts),21167.42,143.01,0.408,0.631,148.01
Floriculture,3728.54,85.67,0.072,0.378,43.52
Other Cereals,39390.9,80.79,0.759,0.356,487.57
Albumin( Eggs & Milk ),970.2,51.07,0.019,0.225,19.0
Fresh Grapes,3858.14,48.41,0.074,0.213,79.7
Guargum,567.6,33.61,0.011,0.148,16.89
Maize,5354.28,29.35,0.103,0.129,182.43
Milled Products,4522.6,23.75,0.087,0.105,190.43
Poultry Products,628.48,18.29,0.012,0.081,34.36
Other Meat,411.16,15.08,0.008,0.067,27.27
Natural Honey,889.0,9.84,0.017,0.043,90.35
Other Fresh Vegetables,6350.19,9.42,0.122,0.042,674.12
Processed Meat,569.83,9.02,0.011,0.04,63.17
Casein,121.19,7.87,0.002,0.035,15.4
Walnuts,302.33,6.04,0.006,0.027,50.05
Wheat,2943.85,6.03,0.057,0.027,488.2
Non Basmati Rice,717.5,3.96,0.014,0.017,181.19
Sheep/Goat Meat,37.09,2.15,0.001,0.009,17.25
Millet,833.7,0.88,0.016,0.004,947.39
Cucumber and Gherkins( Prepd. &  Presvd),88.06,0.82,0.002,0.004,107.39
Fresh Onions,450.0,0.3,0.009,0.001,1500.0
Groundnuts,38.15,0.29,0.001,0.001,131.55
Fresh Mangoes,1.2,0.0,0.0,0.0,inf
Animal Casings,0.02,0.0,0.0,0.0,inf
Total,5187811.04,22676.14,100.0,100.0,228.78
