Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,2505038.19,12153.74,43.223,29.715,206.11
Cashew Kernels,834399.66,7491.21,14.397,18.316,111.38
Other Fresh Fruits,868379.49,5495.22,14.983,13.435,158.02
Alcoholic Beverages,643688.41,3983.17,11.107,9.739,161.6
Miscellaneous Preparations,216530.05,2174.43,3.736,5.316,99.58
Cocoa Products,89060.1,2020.99,1.537,4.941,44.07
"Processed Fruits, Juices & Nuts",72648.93,1395.64,1.254,3.412,52.05
Cereal Preparations,113372.08,1213.18,1.956,2.966,93.45
Fruits & Vegetables Seeds,24925.8,1035.94,0.43,2.533,24.06
Jaggery & Confectionery,81626.56,874.86,1.408,2.139,93.3
Walnuts,35021.54,667.17,0.604,1.631,52.49
Others (Betel Leaves & Nuts),25042.16,520.48,0.432,1.273,48.11
Albumin( Eggs & Milk ),9056.36,378.4,0.156,0.925,23.93
Other Cereals,109670.31,249.19,1.892,0.609,440.11
Dairy Products,16183.26,233.64,0.279,0.571,69.27
Fresh Onions,66264.43,211.03,1.143,0.516,314.0
Processed Vegetables,20550.88,195.53,0.355,0.478,105.1
Floriculture,3959.21,160.38,0.068,0.392,24.69
Casein,1856.76,117.79,0.032,0.288,15.76
Maize,24819.24,81.46,0.428,0.199,304.68
Fresh Grapes,6463.22,72.95,0.112,0.178,88.6
Other Fresh Vegetables,14019.58,46.99,0.242,0.115,298.35
Poultry Products,296.77,25.75,0.005,0.063,11.53
Non Basmati Rice,4763.09,24.67,0.082,0.06,193.07
Other Meat,499.56,17.5,0.009,0.043,28.55
Natural Honey,494.28,13.07,0.009,0.032,37.82
Guargum,366.07,11.02,0.006,0.027,33.22
Milled Products,2532.74,10.17,0.044,0.025,249.04
Groundnuts,1036.15,7.95,0.018,0.019,130.33
Cashewnut Shell Liquid,2198.93,5.81,0.038,0.014,378.47
Processed Meat,135.86,5.12,0.002,0.013,26.54
Millet,428.45,1.82,0.007,0.004,235.41
Cardanol,2.1,1.36,0.0,0.003,1.54
Cucumber and Gherkins( Prepd. &  Presvd),150.36,0.99,0.003,0.002,151.88
Sheep/Goat Meat,12.3,0.94,0.0,0.002,13.09
Animal Casings,14.0,0.49,0.0,0.001,28.57
Fresh Mangoes,17.97,0.45,0.0,0.001,39.93
Mango Pulp,47.6,0.26,0.001,0.001,183.08
Wheat,2.66,0.01,0.0,0.0,266.0
Total,5795575.11,40900.77,100.0,100.0,141.7
