Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,3495844.54,9448.35,74.983,52.559,370.0
Other Fresh Fruits,582418.04,2265.36,12.492,12.602,257.1
Alcoholic Beverages,104723.69,1244.21,2.246,6.921,84.17
Dairy Products,70699.92,1203.93,1.516,6.697,58.72
Cocoa Products,50759.95,934.32,1.089,5.197,54.33
Miscellaneous Preparations,130790.65,869.85,2.805,4.839,150.36
Jaggery & Confectionery,38518.51,387.17,0.826,2.154,99.49
"Processed Fruits, Juices & Nuts",37083.49,380.52,0.795,2.117,97.45
Fruits & Vegetables Seeds,13180.92,380.15,0.283,2.115,34.67
Cereal Preparations,45829.28,316.39,0.983,1.76,144.85
Processed Vegetables,22219.67,133.48,0.477,0.743,166.46
Others (Betel Leaves & Nuts),32867.85,126.32,0.705,0.703,260.2
Floriculture,3064.32,68.64,0.066,0.382,44.64
Albumin( Eggs & Milk ),1380.99,51.53,0.03,0.287,26.8
Fresh Grapes,3997.93,43.65,0.086,0.243,91.59
Poultry Products,661.73,19.72,0.014,0.11,33.56
Other Cereals,9131.73,17.66,0.196,0.098,517.09
Other Meat,540.06,12.36,0.012,0.069,43.69
Milled Products,2882.81,11.88,0.062,0.066,242.66
Natural Honey,1070.58,10.09,0.023,0.056,106.1
Guargum,298.7,9.9,0.006,0.055,30.17
Processed Meat,962.82,9.86,0.021,0.055,97.65
Maize,3882.13,8.64,0.083,0.048,449.32
Casein,132.99,5.39,0.003,0.03,24.67
Other Fresh Vegetables,5064.46,5.31,0.109,0.03,953.76
Millet,2342.72,3.74,0.05,0.021,626.4
Non Basmati Rice,598.49,3.0,0.013,0.017,199.5
Basmati Rice,461.5,2.47,0.01,0.014,186.84
Groundnuts,692.0,1.37,0.015,0.008,505.11
Walnuts,48.89,0.95,0.001,0.005,51.46
Sheep/Goat Meat,4.63,0.21,0.0,0.001,22.05
Cucumber and Gherkins( Prepd. &  Presvd),4.11,0.11,0.0,0.001,37.36
Wheat,21.5,0.08,0.0,0.0,268.75
Fresh Onions,12.8,0.07,0.0,0.0,182.86
Fresh Mangoes,10.87,0.03,0.0,0.0,362.33
Total,4662205.27,17976.71,100.0,100.0,259.35
