Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,2771574.34,17105.31,42.284,31.565,162.03
Cashew Kernels,939198.52,9338.37,14.329,17.232,100.57
Other Fresh Fruits,1206053.65,7505.3,18.4,13.85,160.69
Alcoholic Beverages,559597.64,5059.25,8.537,9.336,110.61
Miscellaneous Preparations,336515.45,3297.81,5.134,6.086,102.04
Cocoa Products,111187.61,2713.93,1.696,5.008,40.97
"Processed Fruits, Juices & Nuts",89906.45,1720.08,1.372,3.174,52.27
Cereal Preparations,124806.96,1527.84,1.904,2.819,81.69
Albumin( Eggs & Milk ),18074.55,1080.37,0.276,1.994,16.73
Jaggery & Confectionery,85931.72,1013.0,1.311,1.869,84.83
Fruits & Vegetables Seeds,19744.95,1002.55,0.301,1.85,19.69
Others (Betel Leaves & Nuts),27349.33,697.72,0.417,1.288,39.2
Walnuts,30087.75,474.44,0.459,0.875,63.42
Other Cereals,87828.57,263.11,1.34,0.486,333.81
Floriculture,6235.88,258.53,0.095,0.477,24.12
Processed Vegetables,26234.34,255.32,0.4,0.471,102.75
Dairy Products,11873.52,202.16,0.181,0.373,58.73
Casein,2039.12,134.27,0.031,0.248,15.19
Fresh Onions,28512.6,106.06,0.435,0.196,268.83
Maize,23725.96,105.43,0.362,0.195,225.04
Fresh Grapes,7980.74,85.44,0.122,0.158,93.41
Non Basmati Rice,10582.29,49.8,0.161,0.092,212.5
Poultry Products,417.83,39.86,0.006,0.074,10.48
Other Meat,909.14,34.58,0.014,0.064,26.29
Other Fresh Vegetables,15929.57,33.41,0.243,0.062,476.79
Cashewnut Shell Liquid,6523.32,20.83,0.1,0.038,313.17
Natural Honey,661.28,18.46,0.01,0.034,35.82
Milled Products,3373.14,14.59,0.051,0.027,231.2
Groundnuts,748.25,9.37,0.011,0.017,79.86
Guargum,176.36,5.88,0.003,0.011,29.99
Processed Meat,174.08,5.56,0.003,0.01,31.31
Sheep/Goat Meat,53.58,4.92,0.001,0.009,10.89
Fresh Mangoes,56.03,2.34,0.001,0.004,23.94
Cardanol,3.1,2.05,0.0,0.004,1.51
Millet,517.48,1.78,0.008,0.003,290.72
Mango Pulp,68.8,1.05,0.001,0.002,65.52
Animal Casings,1.54,0.22,0.0,0.0,7.0
Wheat,54.06,0.18,0.001,0.0,300.33
Cucumber and Gherkins( Prepd. &  Presvd),14.73,0.09,0.0,0.0,163.67
Total,6554724.23,54191.26,100.0,100.0,120.96
