Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,6661329.15,28750.96,43.351,45.695,231.69
Cashew Kernels,774503.55,9027.09,5.04,14.347,85.8
Wheat,5749431.07,8509.05,37.417,13.524,675.68
Other Fresh Fruits,834811.68,4748.89,5.433,7.548,175.79
Alcoholic Beverages,433798.28,3476.31,2.823,5.525,124.79
Miscellaneous Preparations,229557.04,2125.72,1.494,3.378,107.99
Cocoa Products,63613.17,1542.31,0.414,2.451,41.25
"Processed Fruits, Juices & Nuts",56147.63,884.52,0.365,1.406,63.48
Fruits & Vegetables Seeds,14073.87,653.33,0.092,1.038,21.54
Cereal Preparations,67030.69,584.53,0.436,0.929,114.67
Jaggery & Confectionery,64086.73,560.65,0.417,0.891,114.31
Others (Betel Leaves & Nuts),30260.5,485.71,0.197,0.772,62.3
Other Cereals,227497.4,329.69,1.481,0.524,690.03
Walnuts,12989.53,237.9,0.085,0.378,54.6
Dairy Products,16305.78,230.2,0.106,0.366,70.83
Maize,83216.79,162.46,0.542,0.258,512.23
Albumin( Eggs & Milk ),4332.74,147.02,0.028,0.234,29.47
Floriculture,5550.08,133.81,0.036,0.213,41.48
Processed Vegetables,14615.13,128.9,0.095,0.205,113.38
Fresh Grapes,4428.36,70.04,0.029,0.111,63.23
Poultry Products,721.37,29.57,0.005,0.047,24.4
Other Meat,593.46,18.99,0.004,0.03,31.25
Casein,434.19,17.11,0.003,0.027,25.38
Milled Products,3555.95,16.22,0.023,0.026,219.23
Other Fresh Vegetables,8442.66,10.69,0.055,0.017,789.77
Sheep/Goat Meat,122.92,8.5,0.001,0.014,14.46
Natural Honey,161.7,7.52,0.001,0.012,21.5
Non Basmati Rice,1141.36,7.25,0.007,0.012,157.43
Processed Meat,132.47,4.47,0.001,0.007,29.64
Cashewnut Shell Liquid,1653.06,3.53,0.011,0.006,468.29
Guargum,182.05,2.41,0.001,0.004,75.54
Groundnuts,325.05,1.39,0.002,0.002,233.85
Millet,655.1,1.04,0.004,0.002,629.9
Cucumber and Gherkins( Prepd. &  Presvd),59.78,0.94,0.0,0.001,63.6
Fresh Onions,86.83,0.21,0.001,0.0,413.48
Cardanol,34.71,0.14,0.0,0.0,247.93
Fresh Mangoes,5.04,0.05,0.0,0.0,100.8
Total,15365886.87,62919.12,100.0,100.0,244.22
