Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Cashew Kernels,839636.44,11162.32,14.298,27.546,75.22
Pulses,2595914.15,8289.59,44.206,20.457,313.15
Other Fresh Fruits,885216.87,5500.77,15.074,13.575,160.93
Alcoholic Beverages,587958.73,4678.72,10.012,11.546,125.67
Miscellaneous Preparations,229465.71,2436.12,3.908,6.012,94.19
Cocoa Products,87593.24,1845.85,1.492,4.555,47.45
"Processed Fruits, Juices & Nuts",81424.7,1625.66,1.387,4.012,50.09
Cereal Preparations,90248.58,967.21,1.537,2.387,93.31
Fruits & Vegetables Seeds,19609.09,805.57,0.334,1.988,24.34
Jaggery & Confectionery,78982.56,688.55,1.345,1.699,114.71
Others (Betel Leaves & Nuts),20681.8,480.87,0.352,1.187,43.01
Albumin( Eggs & Milk ),10848.33,399.28,0.185,0.985,27.17
Other Cereals,157265.62,285.36,2.678,0.704,551.11
Walnuts,13640.47,267.87,0.232,0.661,50.92
Dairy Products,12513.08,198.49,0.213,0.49,63.04
Processed Vegetables,20308.19,184.58,0.346,0.455,110.02
Maize,86024.79,183.38,1.465,0.453,469.11
Floriculture,6374.47,174.09,0.109,0.43,36.62
Fresh Grapes,7006.13,86.16,0.119,0.213,81.32
Poultry Products,900.35,41.8,0.015,0.103,21.54
Casein,559.29,35.01,0.01,0.086,15.98
Non Basmati Rice,6870.91,32.18,0.117,0.079,213.51
Other Meat,876.44,30.65,0.015,0.076,28.6
Natural Honey,570.83,20.63,0.01,0.051,27.67
Cashewnut Shell Liquid,6606.39,17.98,0.112,0.044,367.43
Milled Products,4184.83,15.6,0.071,0.038,268.26
Other Fresh Vegetables,7659.07,15.35,0.13,0.038,498.96
Sheep/Goat Meat,119.38,10.65,0.002,0.026,11.21
Fresh Onions,7080.71,8.42,0.121,0.021,840.94
Groundnuts,1086.89,8.14,0.019,0.02,133.52
Guargum,715.16,5.9,0.012,0.015,121.21
Wheat,2746.56,5.44,0.047,0.013,504.88
Processed Meat,119.38,4.14,0.002,0.01,28.84
Cardanol,5.1,3.07,0.0,0.008,1.66
Cucumber and Gherkins( Prepd. &  Presvd),338.61,2.91,0.006,0.007,116.36
Millet,1032.34,2.53,0.018,0.006,408.04
Mango Pulp,160.2,1.06,0.003,0.003,151.13
Fresh Mangoes,30.54,0.51,0.001,0.001,59.88
Buffalo Meat,0.95,0.18,0.0,0.0,5.28
Total,5872376.88,40522.59,100.0,100.0,144.92
