State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
UNSPECIFIED,10282276.84,20405.94,98.487,96.888,503.89
Maharashtra,62439.27,294.1,0.598,1.396,212.31
Gujarat,28119.64,94.02,0.269,0.446,299.08
Delhi,15321.06,78.47,0.147,0.373,195.25
Tamil Nadu,24943.13,77.66,0.239,0.369,321.18
KERALA,5592.53,26.56,0.054,0.126,210.56
Karnataka,6589.9,24.78,0.063,0.118,265.94
West Bengal,4906.63,15.75,0.047,0.075,311.53
Telangana,2178.36,9.53,0.021,0.045,228.58
Punjab,2548.38,9.3,0.024,0.044,274.02
Uttar Pradesh,2690.13,9.07,0.026,0.043,296.6
Bihar,1195.9,6.37,0.011,0.03,187.74
Madhya Pradesh,534.82,4.45,0.005,0.021,120.18
Pondicherry,686.22,2.31,0.007,0.011,297.06
Rajasthan,104.06,2.19,0.001,0.01,47.52
Odisha,30.0,0.28,0.0,0.001,107.14
Goa,31.25,0.27,0.0,0.001,115.74
Andhra Pradesh,40.0,0.22,0.0,0.001,181.82
HARYANA,30.0,0.08,0.0,0.0,375.0
Manipur,8.4,0.03,0.0,0.0,280.0
Uttarakhand,3.44,0.02,0.0,0.0,172.0
Tripura,8.0,0.02,0.0,0.0,400.0
Meghalaya,2.0,0.01,0.0,0.0,200.0
Total,10440279.96,21061.43,100.0,100.0,495.71
