State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
UNSPECIFIED,10104716.28,17909.28,98.572,96.603,564.22
Maharashtra,51066.35,219.11,0.498,1.182,233.06
Gujarat,24195.3,90.94,0.236,0.491,266.06
Madhya Pradesh,9639.97,83.02,0.094,0.448,116.12
Delhi,11653.32,61.45,0.114,0.331,189.64
Tamil Nadu,14708.67,48.12,0.143,0.26,305.67
Punjab,9013.05,32.1,0.088,0.173,280.78
Telangana,6758.49,29.0,0.066,0.156,233.05
West Bengal,6082.32,18.42,0.059,0.099,330.2
KERALA,3477.19,14.11,0.034,0.076,246.43
Karnataka,2917.42,13.26,0.028,0.072,220.02
Uttar Pradesh,5468.14,13.06,0.053,0.07,418.69
Bihar,823.32,3.37,0.008,0.018,244.31
Rajasthan,54.66,1.79,0.001,0.01,30.54
Goa,156.07,0.83,0.002,0.004,188.04
Andhra Pradesh,103.74,0.39,0.001,0.002,266.0
Odisha,148.0,0.35,0.001,0.002,422.86
Manipur,73.93,0.23,0.001,0.001,321.43
Pondicherry,37.2,0.15,0.0,0.001,248.0
Haryana,19.08,0.05,0.0,0.0,381.6
Uttarakhand,9.01,0.02,0.0,0.0,450.5
Total,10251121.51,18539.05,100.0,100.0,552.95
