Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Australia,1851666.33,6987.62,18.276,14.672,264.99
Canada,1706441.92,4600.68,16.843,9.66,370.91
U S A,745037.29,4306.0,7.354,9.041,173.02
Myanmar,569069.27,2784.38,5.617,5.846,204.38
Tanzania Rep,203161.48,2144.07,2.005,4.502,94.76
Cote D Ivoire,151790.44,1904.37,1.498,3.999,79.71
Russia,1054200.58,1856.84,10.405,3.899,567.74
Ukraine,1120637.7,1805.37,11.061,3.791,620.72
Guinea Bissau,107113.69,1646.24,1.057,3.457,65.07
U K,45251.94,1537.09,0.447,3.227,29.44
Afghanistan Tis,51783.01,1483.22,0.511,3.114,34.91
China P Rp,197809.17,1299.13,1.952,2.728,152.26
Benin,63284.34,780.09,0.625,1.638,81.12
Pakistan Ir,158895.54,765.49,1.568,1.607,207.57
Ghana,54628.46,762.63,0.539,1.601,71.63
Indonesia,42923.82,759.18,0.424,1.594,56.54
Mozambique,152603.1,689.5,1.506,1.448,221.32
France,117170.68,585.65,1.156,1.23,200.07
Chile,39495.76,499.15,0.39,1.048,79.13
Netherland,23277.36,456.01,0.23,0.957,51.05
Thailand,24460.61,451.89,0.241,0.949,54.13
Nigeria,39808.62,450.96,0.393,0.947,88.28
Iraq,146434.46,415.49,1.445,0.872,352.44
Sri Lanka Dsr,21128.73,401.0,0.209,0.842,52.69
Italy,28787.55,388.74,0.284,0.816,74.05
Romania,200140.67,383.79,1.975,0.806,521.48
Vietnam Soc Rep,30912.33,371.84,0.305,0.781,83.13
Argentina,179281.25,358.5,1.77,0.753,500.09
Singapore,8958.29,333.84,0.088,0.701,26.83
Gambia,21814.63,328.47,0.215,0.69,66.41
Iran,69769.45,322.4,0.689,0.677,216.41
Brazil,64267.89,307.92,0.634,0.647,208.72
Germany,40101.04,298.47,0.396,0.627,134.36
Egypt A Rp,59994.79,288.45,0.592,0.606,207.99
New Zealand,23458.86,277.21,0.232,0.582,84.62
U Arab Emts,31513.31,274.52,0.311,0.576,114.79
Sudan,62621.78,273.61,0.618,0.575,228.87
Burkina Faso,21530.26,269.02,0.213,0.565,80.03
Senegal,15727.26,230.85,0.155,0.485,68.13
Turkey,31571.37,220.17,0.312,0.462,143.4
Malaysia,11712.5,213.38,0.116,0.448,54.89
Guinea,15852.66,200.8,0.156,0.422,78.95
Lithuania,99029.68,193.8,0.977,0.407,510.99
South Africa,28170.87,184.52,0.278,0.387,152.67
Belgium,15875.22,166.52,0.157,0.35,95.34
Spain,11662.34,166.07,0.115,0.349,70.23
Togo,11270.97,142.11,0.111,0.298,79.31
Ethiopia,25412.03,127.38,0.251,0.267,199.5
Bulgaria,58872.19,127.32,0.581,0.267,462.4
Ecuador,8888.93,126.14,0.088,0.265,70.47
Bangladesh Pr,13255.95,124.99,0.131,0.262,106.06
Uganda,8418.79,92.33,0.083,0.194,91.18
Uruguay,66315.96,85.92,0.655,0.18,771.83
Oman,6252.58,83.65,0.062,0.176,74.75
Uzbekistan,14176.72,78.58,0.14,0.165,180.41
Poland,6950.13,73.48,0.069,0.154,94.59
Madagascar,11426.17,72.75,0.113,0.153,157.06
Korea Rp,9591.57,68.03,0.095,0.143,140.99
Unspecified,7344.18,67.64,0.072,0.142,108.58
Mexico,5503.26,64.79,0.054,0.136,84.94
Cambodia,19409.89,61.44,0.192,0.129,315.92
Bhutan,17681.16,60.85,0.175,0.128,290.57
Denmark,3008.91,60.78,0.03,0.128,49.5
Malawi,18149.86,59.02,0.179,0.124,307.52
Switzerland,740.54,54.03,0.007,0.113,13.71
Nepal,14080.19,53.14,0.139,0.112,264.96
Israel,3859.65,53.13,0.038,0.112,72.65
Philippines,2396.58,44.19,0.024,0.093,54.23
Congo D. Rep.,3054.43,42.79,0.03,0.09,71.38
Saudi Arab,3988.14,35.89,0.039,0.075,111.12
Sweden,1393.32,31.59,0.014,0.066,44.11
Taiwan,183.22,30.44,0.002,0.064,6.02
Greece,2219.17,27.96,0.022,0.059,79.37
Ireland,1039.94,26.54,0.01,0.056,39.18
Japan,411.31,26.15,0.004,0.055,15.73
Peru,1392.98,25.44,0.014,0.053,54.76
Mali,1464.29,18.7,0.014,0.039,78.3
Algeria,2352.36,15.88,0.023,0.033,148.13
Tunisia,1979.09,14.33,0.02,0.03,138.11
Moldova,5089.34,9.35,0.05,0.02,544.31
Hungary,114.15,8.78,0.001,0.018,13.0
Kenya,1462.09,8.59,0.014,0.018,170.21
Norway,1539.14,7.73,0.015,0.016,199.11
Austria,507.24,7.66,0.005,0.016,66.22
Bolivia,983.02,6.24,0.01,0.013,157.54
Slovak Rep,652.28,5.91,0.006,0.012,110.37
Guatemala,7.12,5.48,0.0,0.012,1.3
Estonia,2357.75,5.33,0.023,0.011,442.35
Portugal,418.14,5.31,0.004,0.011,78.75
Finland,776.96,4.78,0.008,0.01,162.54
Baharain Is,246.33,4.65,0.002,0.01,52.97
Serbia,120.64,4.6,0.001,0.01,26.23
Czech Republic,198.82,4.16,0.002,0.009,47.79
Dominic Rep,302.4,4.09,0.003,0.009,73.94
Kyrghyzstan,587.02,4.08,0.006,0.009,143.88
Colombia,671.58,4.04,0.007,0.008,166.23
Latvia,204.24,3.11,0.002,0.007,65.67
Venezuela,607.7,2.76,0.006,0.006,220.18
Jamaica,40.52,1.41,0.0,0.003,28.74
Kuwait,34.81,1.23,0.0,0.003,28.3
Hong Kong,74.49,1.23,0.001,0.003,60.56
Kazakhstan,220.0,1.2,0.002,0.003,183.33
El Salvador,87.46,0.98,0.001,0.002,89.24
Yemen Republc,77.8,0.94,0.001,0.002,82.77
Croatia,27.41,0.94,0.0,0.002,29.16
Luxembourg,4.01,0.72,0.0,0.002,5.57
Paraguay,13.99,0.69,0.0,0.001,20.28
Liberia,50.05,0.69,0.0,0.001,72.54
Belize,162.22,0.63,0.002,0.001,257.49
Cameroon,51.36,0.61,0.001,0.001,84.2
Panama Republic,35.0,0.5,0.0,0.001,70.0
Tajikistan,92.0,0.46,0.001,0.001,200.0
Timor-Leste,18.0,0.46,0.0,0.001,39.13
Chad,34.0,0.39,0.0,0.001,87.18
Bosnia-Hrzgovin,52.8,0.34,0.001,0.001,155.29
Lebanon,64.15,0.34,0.001,0.001,188.68
Jordan,9.06,0.33,0.0,0.001,27.45
Costa Rica,0.19,0.25,0.0,0.001,0.76
Netherlandantil,10.3,0.22,0.0,0.0,46.82
Mauritius,2.74,0.19,0.0,0.0,14.42
Cyprus,9.48,0.19,0.0,0.0,49.89
Azerbaijan,39.69,0.17,0.0,0.0,233.47
Zambia,8.52,0.15,0.0,0.0,56.8
Korea Dp Rp,15.74,0.13,0.0,0.0,121.08
Djibouti,24.0,0.13,0.0,0.0,184.62
Virgin Is Us,16.51,0.13,0.0,0.0,127.0
Fr Polynesia,8.55,0.1,0.0,0.0,85.5
Trinidad,28.27,0.08,0.0,0.0,353.38
Antarctica,10.15,0.08,0.0,0.0,126.88
Armenia,1.0,0.08,0.0,0.0,12.5
Belarus,26.94,0.07,0.0,0.0,384.86
Syria,2.79,0.05,0.0,0.0,55.8
Cook Is,19.58,0.05,0.0,0.0,391.6
Qatar,1.0,0.05,0.0,0.0,20.0
Brunei,18.77,0.04,0.0,0.0,469.25
Christmas Is.,16.5,0.04,0.0,0.0,412.5
Macedonia,0.26,0.03,0.0,0.0,8.67
Pitcairn,4.31,0.03,0.0,0.0,143.67
Slovenia,0.54,0.02,0.0,0.0,27.0
Morocco,0.0,0.01,0.0,0.0,0.0
Iceland,0.01,0.01,0.0,0.0,1.0
Puerto Rico,0.08,0.0,0.0,0.0,inf
Eswatini,0.05,0.0,0.0,0.0,inf
Fiji Is,0.07,0.0,0.0,0.0,inf
Total,10131573.89,47625.38,100.0,100.0,212.73
