Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Canada,2516806.32,9353.02,30.751,22.395,269.09
Myanmar,732549.05,5415.34,8.951,12.967,135.27
Australia,1417943.35,5152.59,17.325,12.338,275.19
U S A,540312.63,3153.83,6.602,7.552,171.32
Russia,504892.02,1434.98,6.169,3.436,351.85
U K,40226.87,1420.41,0.492,3.401,28.32
China P Rp,199262.7,1251.57,2.435,2.997,159.21
Afghanistan Tis,97538.23,1088.3,1.192,2.606,89.62
Tanzania Rep,136850.5,949.97,1.672,2.275,144.06
France,191743.08,734.1,2.343,1.758,261.19
Nepal,83166.23,681.11,1.016,1.631,122.1
Sri Lanka Dsr,58814.84,673.23,0.719,1.612,87.36
Brazil,156916.54,635.04,1.917,1.521,247.1
Pakistan Ir,122096.3,624.14,1.492,1.494,195.62
Mozambique,78900.59,588.38,0.964,1.409,134.1
Indonesia,35810.98,575.3,0.438,1.378,62.25
Ukraine,252759.16,434.01,3.088,1.039,582.38
Thailand,19631.94,407.64,0.24,0.976,48.16
Malawi,61117.12,406.82,0.747,0.974,150.23
Iraq,144676.19,373.56,1.768,0.894,387.29
Kenya,52890.75,368.11,0.646,0.881,143.68
U Arab Emts,36476.62,355.92,0.446,0.852,102.49
New Zealand,27727.96,349.77,0.339,0.838,79.27
Netherland,17419.4,338.74,0.213,0.811,51.42
Italy,27480.67,332.87,0.336,0.797,82.56
Egypt A Rp,76099.0,318.41,0.93,0.762,239.0
Singapore,11972.76,315.53,0.146,0.756,37.94
Chile,23264.68,295.84,0.284,0.708,78.64
Bangladesh Pr,27206.88,280.77,0.332,0.672,96.9
Ethiopia,52175.85,240.41,0.638,0.576,217.03
Germany,12765.82,221.45,0.156,0.53,57.65
Lithuania,96296.7,218.77,1.177,0.524,440.17
Argentina,41049.41,195.87,0.502,0.469,209.57
Malaysia,10348.2,182.96,0.126,0.438,56.56
Iran,39936.13,153.01,0.488,0.366,261.0
South Africa,21362.64,143.06,0.261,0.343,149.33
Belgium,15718.15,139.69,0.192,0.334,112.52
Sudan,19430.56,130.3,0.237,0.312,149.12
Uzbekistan,15182.07,113.19,0.185,0.271,134.13
Madagascar,21343.56,108.74,0.261,0.26,196.28
Spain,8504.57,104.88,0.104,0.251,81.09
Ecuador,4884.96,103.11,0.06,0.247,47.38
Uganda,11452.06,98.67,0.14,0.236,116.06
Dominic Rep,4435.2,95.47,0.054,0.229,46.46
Austria,13123.81,85.78,0.16,0.205,152.99
Turkey,10530.14,84.05,0.129,0.201,125.28
Mexico,11346.72,77.35,0.139,0.185,146.69
Oman,6593.57,62.5,0.081,0.15,105.5
Israel,5053.82,59.37,0.062,0.142,85.12
Ghana,2077.1,53.54,0.025,0.128,38.8
Poland,2737.7,52.26,0.033,0.125,52.39
Denmark,3873.48,51.07,0.047,0.122,75.85
Cote D Ivoire,2519.15,49.69,0.031,0.119,50.7
Peru,2474.6,48.93,0.03,0.117,50.57
Saudi Arab,4474.14,45.46,0.055,0.109,98.42
Bhutan,7771.21,45.07,0.095,0.108,172.43
Vietnam Soc Rep,10551.66,45.03,0.129,0.108,234.33
Switzerland,1010.9,44.18,0.012,0.106,22.88
Taiwan,148.06,42.41,0.002,0.102,3.49
Philippines,2562.03,41.32,0.031,0.099,62.0
Korea Rp,909.72,36.06,0.011,0.086,25.23
Japan,522.37,28.34,0.006,0.068,18.43
