Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Bulgaria,647.63,23.47,0.008,0.056,27.59
Nigeria,1006.06,22.23,0.012,0.053,45.26
Congo D. Rep.,992.23,20.26,0.012,0.049,48.97
Estonia,8416.58,19.07,0.103,0.046,441.35
Sweden,549.75,17.18,0.007,0.041,32.0
Finland,1964.14,12.6,0.024,0.03,155.88
Kazakhstan,3537.1,12.37,0.043,0.03,285.94
Tunisia,1793.92,11.56,0.022,0.028,155.18
Greece,1075.47,10.14,0.013,0.024,106.06
Guinea,566.0,9.98,0.007,0.024,56.71
Hungary,262.13,9.35,0.003,0.022,28.04
Ireland,271.17,9.15,0.003,0.022,29.64
Kyrghyzstan,1085.0,8.6,0.013,0.021,126.16
Colombia,897.26,8.25,0.011,0.02,108.76
Algeria,1335.62,8.12,0.016,0.019,164.49
Baharain Is,313.01,6.25,0.004,0.015,50.08
Guatemala,0.21,5.54,0.0,0.013,0.04
Latvia,1274.81,4.58,0.016,0.011,278.34
Unspecified,207.85,4.35,0.003,0.01,47.78
Cambodia,351.86,3.38,0.004,0.008,104.1
Hong Kong,201.57,3.36,0.002,0.008,59.99
Slovak Rep,112.09,3.23,0.001,0.008,34.7
Portugal,154.09,2.66,0.002,0.006,57.93
Virgin Is Us,34.46,2.47,0.0,0.006,13.95
Uruguay,503.7,2.34,0.006,0.006,215.26
Serbia,42.71,2.17,0.001,0.005,19.68
Bolivia,190.0,1.31,0.002,0.003,145.04
Netherlandantil,39.05,1.11,0.0,0.003,35.18
Kuwait,80.71,0.82,0.001,0.002,98.43
Moldova,251.0,0.61,0.003,0.001,411.48
Syria,34.95,0.56,0.0,0.001,62.41
Djibouti,140.0,0.55,0.002,0.001,254.55
Romania,9.5,0.52,0.0,0.001,18.27
Norway,17.57,0.47,0.0,0.001,37.38
Venezuela,48.0,0.4,0.001,0.001,120.0
Korea Dp Rp,17.25,0.35,0.0,0.001,49.29
Mauritius,3.32,0.3,0.0,0.001,11.07
Jordan,19.45,0.28,0.0,0.001,69.46
Eswatini,5.19,0.27,0.0,0.001,19.22
Iceland,3.59,0.27,0.0,0.001,13.3
Benin,37.0,0.24,0.0,0.001,154.17
Tajikistan,31.28,0.23,0.0,0.001,136.0
Lebanon,39.26,0.22,0.0,0.001,178.45
Czech Republic,37.78,0.2,0.0,0.0,188.9
Serbia Montngro,35.0,0.18,0.0,0.0,194.44
Albania,20.03,0.14,0.0,0.0,143.07
Costa Rica,2.5,0.14,0.0,0.0,17.86
Malta,28.83,0.12,0.0,0.0,240.25
Croatia,3.0,0.1,0.0,0.0,30.0
Maldives,5.0,0.07,0.0,0.0,71.43
Georgia,0.7,0.03,0.0,0.0,23.33
Luxembourg,0.17,0.01,0.0,0.0,17.0
Qatar,0.18,0.01,0.0,0.0,18.0
Jamaica,0.37,0.01,0.0,0.0,37.0
Cuba,0.03,0.01,0.0,0.0,3.0
Norfolk Islands,0.2,0.01,0.0,0.0,20.0
Fiji Is,0.01,0.0,0.0,0.0,inf
Total,8184416.76,41763.49,100.0,100.0,195.97
