Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Cyprus,23.46,0.24,0.001,0.002,97.75
Norway,13.25,0.24,0.0,0.002,55.21
Jordan,17.65,0.23,0.0,0.002,76.74
Ameri Samoa,3.0,0.15,0.0,0.001,20.0
Kazakhstan,32.8,0.11,0.001,0.001,298.18
Slovak Rep,18.98,0.11,0.0,0.001,172.55
Uruguay,8.29,0.09,0.0,0.001,92.11
Korea Dp Rp,1.89,0.07,0.0,0.0,27.0
Jamaica,1.28,0.06,0.0,0.0,21.33
Bahamas,1.42,0.04,0.0,0.0,35.5
Morocco,3.0,0.03,0.0,0.0,100.0
Honduras,1.4,0.02,0.0,0.0,70.0
Bulgaria,10.26,0.01,0.0,0.0,1026.0
Suriname,0.96,0.01,0.0,0.0,96.0
Syria,1.11,0.0,0.0,0.0,inf
Kyrghyzstan,1.0,0.0,0.0,0.0,inf
Trinidad,0.19,0.0,0.0,0.0,inf
Liberia,0.1,0.0,0.0,0.0,inf
Panama Republic,0.08,0.0,0.0,0.0,inf
Senegal,0.07,0.0,0.0,0.0,inf
Croatia,0.12,0.0,0.0,0.0,inf
Moldova,0.05,0.0,0.0,0.0,inf
Venezuela,0.01,0.0,0.0,0.0,inf
Total,4180009.12,14559.71,100.0,100.0,287.09
