Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Myanmar,539956.48,2613.58,12.918,17.951,206.6
Canada,1283527.7,2222.01,30.706,15.261,577.64
U S A,350566.48,1185.52,8.387,8.142,295.71
Australia,371771.73,1032.74,8.894,7.093,359.99
China P Rp,218999.26,881.0,5.239,6.051,248.58
New Zealand,41718.61,595.76,0.998,4.092,70.03
Tanzania Rep,149749.57,525.66,3.583,3.61,284.88
U K,27799.01,451.64,0.665,3.102,61.55
Afghanistan Tis,36346.08,363.02,0.87,2.493,100.12
Pakistan Ir,99814.57,327.99,2.388,2.253,304.32
Thailand,59984.75,307.53,1.435,2.112,195.05
Mozambique,91536.03,268.65,2.19,1.845,340.73
Iraq,150248.43,230.53,3.594,1.583,651.75
Nepal,80377.75,228.51,1.923,1.569,351.75
Brazil,52557.34,211.4,1.257,1.452,248.62
Indonesia,35151.9,182.89,0.841,1.256,192.2
France,33961.67,174.56,0.812,1.199,194.56
Chile,26594.18,169.38,0.636,1.163,157.01
Singapore,9303.84,158.65,0.223,1.09,58.64
Netherland,14084.63,157.73,0.337,1.083,89.3
U Arab Emts,34314.7,150.74,0.821,1.035,227.64
Kenya,28986.03,141.83,0.693,0.974,204.37
Bangladesh Pr,41983.17,140.93,1.004,0.968,297.9
Sri Lanka Dsr,9083.04,123.32,0.217,0.847,73.65
Malaysia,15090.16,122.77,0.361,0.843,122.91
Italy,10009.89,119.11,0.239,0.818,84.04
Spain,26726.94,116.72,0.639,0.802,228.98
Namibia,21500.07,106.65,0.514,0.733,201.59
Germany,7020.82,85.11,0.168,0.585,82.49
Malawi,29669.0,81.31,0.71,0.558,364.89
Iran,57596.43,80.07,1.378,0.55,719.33
Russia,48159.1,71.42,1.152,0.491,674.31
Poland,6884.16,61.59,0.165,0.423,111.77
Austria,10181.63,60.18,0.244,0.413,169.19
Ethiopia,12411.99,51.9,0.297,0.356,239.15
Argentina,18274.99,47.51,0.437,0.326,384.66
Egypt A Rp,10758.03,46.44,0.257,0.319,231.65
South Africa,9408.19,45.57,0.225,0.313,206.46
Ukraine,32638.15,44.3,0.781,0.304,736.75
Ghana,2642.0,41.68,0.063,0.286,63.39
Dominic Rep,2605.06,41.26,0.062,0.283,63.14
Denmark,3941.83,40.78,0.094,0.28,96.66
Switzerland,1011.69,27.76,0.024,0.191,36.44
Unspecified,5171.75,26.64,0.124,0.183,194.13
Belgium,2957.44,26.34,0.071,0.181,112.28
Korea Rp,2032.35,24.26,0.049,0.167,83.77
Philippines,2092.93,23.79,0.05,0.163,87.98
Israel,1834.2,23.47,0.044,0.161,78.15
Taiwan,527.91,20.05,0.013,0.138,26.33
Oman,5020.69,18.64,0.12,0.128,269.35
Turkey,3363.87,18.38,0.08,0.126,183.02
Japan,932.81,18.02,0.022,0.124,51.77
Peru,2626.62,16.75,0.063,0.115,156.81
Togo,1008.33,16.6,0.024,0.114,60.74
Uganda,1121.31,15.64,0.027,0.107,71.7
Madagascar,3764.5,15.11,0.09,0.104,249.14
Saudi Arab,4239.27,14.56,0.101,0.1,291.16
Mexico,2033.18,14.48,0.049,0.099,140.41
Guatemala,4810.04,12.37,0.115,0.085,388.85
Vietnam Soc Rep,3568.51,11.59,0.085,0.08,307.9
Cote D Ivoire,772.87,11.0,0.018,0.076,70.26
Sweden,901.48,9.86,0.022,0.068,91.43
Uzbekistan,1760.0,9.14,0.042,0.063,192.56
Ecuador,629.28,9.01,0.015,0.062,69.84
Colombia,1151.16,8.86,0.028,0.061,129.93
Algeria,1438.85,4.99,0.034,0.034,288.35
Bhutan,2083.53,4.61,0.05,0.032,451.96
Lithuania,945.17,4.6,0.023,0.032,205.47
Portugal,218.79,4.16,0.005,0.029,52.59
Ireland,155.53,3.56,0.004,0.024,43.69
Romania,2125.42,2.56,0.051,0.018,830.24
Baharain Is,181.55,2.38,0.004,0.016,76.28
Hong Kong,231.52,2.36,0.006,0.016,98.1
Kuwait,310.69,2.1,0.007,0.014,147.95
Qatar,459.32,1.98,0.011,0.014,231.98
Finland,88.79,1.98,0.002,0.014,44.84
Lebanon,196.42,1.93,0.005,0.013,101.77
Cambodia,1717.0,1.72,0.041,0.012,998.26
Tunisia,512.36,1.7,0.012,0.012,301.39
Somalia,197.0,1.53,0.005,0.011,128.76
Belarus,100.0,1.29,0.002,0.009,77.52
Czech Republic,222.77,1.27,0.005,0.009,175.41
Greece,116.75,1.13,0.003,0.008,103.32
Luxembourg,31.57,0.97,0.001,0.007,32.55
Nigeria,116.69,0.97,0.003,0.007,120.3
Congo P Rep,543.0,0.88,0.013,0.006,617.05
Puerto Rico,34.6,0.77,0.001,0.005,44.94
Eswatini,30.69,0.71,0.001,0.005,43.23
Cuba,86.29,0.66,0.002,0.005,130.74
Nicaragua,39.32,0.6,0.001,0.004,65.53
Guinea,39.0,0.57,0.001,0.004,68.42
Estonia,13.25,0.55,0.0,0.004,24.09
Slovenia,33.06,0.54,0.001,0.004,61.22
Hungary,41.61,0.46,0.001,0.003,90.46
Mali,11.52,0.45,0.0,0.003,25.6
Djibouti,88.0,0.43,0.002,0.003,204.65
Barbados,13.49,0.32,0.0,0.002,42.16
Maldives,50.84,0.27,0.001,0.002,188.3
El Salvador,64.5,0.27,0.002,0.002,238.89
Mauritius,6.79,0.27,0.0,0.002,25.15
Netherlandantil,9.49,0.26,0.0,0.002,36.5
Tajikistan,46.0,0.24,0.001,0.002,191.67
