Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Canada,1444050.19,3033.57,30.974,16.875,476.02
Myanmar,742849.63,2804.37,15.933,15.6,264.89
China P Rp,270519.61,1372.21,5.802,7.633,197.14
U S A,263169.6,1341.18,5.645,7.461,196.22
Australia,321382.41,1085.26,6.893,6.037,296.13
U K,49169.51,729.83,1.055,4.06,67.37
France,124094.06,633.33,2.662,3.523,195.94
Russia,260915.64,553.69,5.596,3.08,471.23
New Zealand,36059.52,515.13,0.773,2.866,70.0
Pakistan Ir,109508.68,397.08,2.349,2.209,275.78
Afghanistan Tis,19782.79,312.0,0.424,1.736,63.41
Germany,28327.13,275.75,0.608,1.534,102.73
Indonesia,28961.89,265.12,0.621,1.475,109.24
Tanzania Rep,77300.57,254.6,1.658,1.416,303.62
Bangladesh Pr,69275.93,248.13,1.486,1.38,279.19
Nepal,84747.95,243.44,1.818,1.354,348.13
Iraq,128116.8,231.93,2.748,1.29,552.39
Singapore,16391.01,223.78,0.352,1.245,73.25
Netherland,18197.22,207.99,0.39,1.157,87.49
Thailand,21270.62,207.61,0.456,1.155,102.45
Italy,20558.29,196.33,0.441,1.092,104.71
Mozambique,61868.9,181.01,1.327,1.007,341.8
Malaysia,18658.75,178.83,0.4,0.995,104.34
Brazil,29393.22,161.27,0.63,0.897,182.26
Ukraine,71944.53,159.09,1.543,0.885,452.23
Chile,23790.48,159.06,0.51,0.885,149.57
Ghana,10048.58,157.41,0.216,0.876,63.84
U Arab Emts,21195.39,156.91,0.455,0.873,135.08
Sri Lanka Dsr,12863.67,149.4,0.276,0.831,86.1
Korea Rp,19739.18,98.87,0.423,0.55,199.65
Ireland,4694.62,81.96,0.101,0.456,57.28
Egypt A Rp,14363.99,78.29,0.308,0.436,183.47
Malawi,29987.12,78.19,0.643,0.435,383.52
Japan,13016.76,75.17,0.279,0.418,173.16
Belgium,7860.73,74.18,0.169,0.413,105.97
Spain,7522.08,71.32,0.161,0.397,105.47
Taiwan,10632.69,66.35,0.228,0.369,160.25
Turkey,11443.49,57.76,0.245,0.321,198.12
Austria,6830.81,56.3,0.147,0.313,121.33
Denmark,11588.23,49.64,0.249,0.276,233.45
Switzerland,2455.5,49.17,0.053,0.274,49.94
Iran,20332.64,47.15,0.436,0.262,431.23
South Africa,7474.58,45.58,0.16,0.254,163.99
Madagascar,9694.54,42.87,0.208,0.238,226.14
Argentina,14515.31,40.5,0.311,0.225,358.4
Togo,2759.8,39.14,0.059,0.218,70.51
Cote D Ivoire,2656.83,33.41,0.057,0.186,79.52
Vietnam Soc Rep,8711.9,31.99,0.187,0.178,272.33
Ethiopia,8561.84,29.91,0.184,0.166,286.25
Unspecified,1779.98,29.23,0.038,0.163,60.9
Israel,3592.16,28.55,0.077,0.159,125.82
Saudi Arab,6719.99,27.09,0.144,0.151,248.06
Sweden,2786.56,25.97,0.06,0.144,107.3
Mexico,4032.92,23.85,0.087,0.133,169.1
Poland,2128.32,23.06,0.046,0.128,92.29
Hong Kong,3755.71,21.81,0.081,0.121,172.2
Oman,4469.77,17.61,0.096,0.098,253.82
Liberia,997.23,17.02,0.021,0.095,58.59
Uganda,1235.79,16.81,0.027,0.094,73.52
Philippines,1989.33,15.93,0.043,0.089,124.88
Lithuania,2551.25,13.56,0.055,0.075,188.15
Uzbekistan,2555.32,12.7,0.055,0.071,201.21
Peru,1053.69,11.65,0.023,0.065,90.45
Kenya,2312.54,10.78,0.05,0.06,214.52
Czech Republic,2317.03,7.9,0.05,0.044,293.29
Baharain Is,970.83,7.27,0.021,0.04,133.54
Qatar,1586.14,5.74,0.034,0.032,276.33
Nigeria,476.7,4.93,0.01,0.027,96.69
Benin,2346.5,4.69,0.05,0.026,500.32
Colombia,299.06,4.28,0.006,0.024,69.87
Bhutan,1649.82,4.09,0.035,0.023,403.38
Costa Rica,464.7,3.92,0.01,0.022,118.55
Slovak Rep,323.49,3.62,0.007,0.02,89.36
Portugal,483.43,3.51,0.01,0.02,137.73
Tunisia,698.39,3.45,0.015,0.019,202.43
Greece,542.89,3.1,0.012,0.017,175.13
Finland,529.67,3.1,0.011,0.017,170.86
Sudan,713.62,2.63,0.015,0.015,271.34
Romania,799.2,2.55,0.017,0.014,313.41
Norway,577.49,2.45,0.012,0.014,235.71
Kuwait,238.13,2.35,0.005,0.013,101.33
Algeria,533.21,2.21,0.011,0.012,241.27
Guyana,918.0,1.91,0.02,0.011,480.63
Lebanon,197.25,1.73,0.004,0.01,114.02
Bulgaria,224.9,1.5,0.005,0.008,149.93
Hungary,51.57,1.47,0.001,0.008,35.08
Maldives,321.5,1.39,0.007,0.008,231.29
Luxembourg,241.07,1.3,0.005,0.007,185.44
Jamaica,43.78,1.3,0.001,0.007,33.68
Uruguay,202.46,1.06,0.004,0.006,191.0
Belarus,200.0,1.02,0.004,0.006,196.08
Jordan,162.7,1.01,0.003,0.006,161.09
Panama Republic,56.83,0.99,0.001,0.006,57.4
El Salvador,228.66,0.98,0.005,0.005,233.33
Morocco,202.59,0.89,0.004,0.005,227.63
Guinea,199.22,0.8,0.004,0.004,249.02
Cameroon,346.0,0.74,0.007,0.004,467.57
Cambodia,544.0,0.56,0.012,0.003,971.43
Georgia,123.34,0.53,0.003,0.003,232.72
Guinea Bissau,203.77,0.49,0.004,0.003,415.86
Reunion,43.06,0.48,0.001,0.003,89.71
Senegal,58.27,0.41,0.001,0.002,142.12
Netherlandantil,35.13,0.41,0.001,0.002,85.68
Guatemala,0.15,0.41,0.0,0.002,0.37
Puerto Rico,10.21,0.4,0.0,0.002,25.52
Suriname,168.78,0.39,0.004,0.002,432.77
Seychelles,78.32,0.39,0.002,0.002,200.82
Nicaragua,9.0,0.38,0.0,0.002,23.68
Mauritius,73.98,0.37,0.002,0.002,199.95
Turkmenistan,72.0,0.36,0.002,0.002,200.0
Cuba,99.47,0.33,0.002,0.002,301.42
Estonia,4.74,0.28,0.0,0.002,16.93
Gabon,60.48,0.28,0.001,0.002,216.0
Trinidad,46.12,0.26,0.001,0.001,177.38
Latvia,45.82,0.19,0.001,0.001,241.16
Eswatini,4.82,0.19,0.0,0.001,25.37
Syria,9.44,0.12,0.0,0.001,78.67
Korea Dp Rp,5.14,0.11,0.0,0.001,46.73
Falkland Is,20.58,0.11,0.0,0.001,187.09
Moldova,11.0,0.11,0.0,0.001,100.0
Cyprus,21.52,0.09,0.0,0.001,239.11
Kazakhstan,21.0,0.08,0.0,0.0,262.5
Ecuador,15.96,0.07,0.0,0.0,228.0
Malta,17.9,0.07,0.0,0.0,255.71
Slovenia,0.72,0.07,0.0,0.0,10.29
Armenia,17.5,0.06,0.0,0.0,291.67
Namibia,18.3,0.05,0.0,0.0,366.0
Guam,0.0,0.05,0.0,0.0,0.0
Bahamas,1.5,0.03,0.0,0.0,50.0
Niger,0.4,0.02,0.0,0.0,20.0
Croatia,0.2,0.0,0.0,0.0,inf
Total,4662205.22,17976.71,100.0,100.0,259.35
