Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Canada,969688.24,3939.71,16.732,9.632,246.13
U S A,709960.71,3881.63,12.25,9.49,182.9
Myanmar,463016.0,3001.47,7.989,7.338,154.26
Tanzania Rep,373220.03,2229.75,6.44,5.452,167.38
Afghanistan Tis,114929.11,2156.96,1.983,5.274,53.28
U Arab Emts,261393.55,1545.07,4.51,3.778,169.18
Indonesia,80167.14,1393.39,1.383,3.407,57.53
Benin,164592.68,1323.98,2.84,3.237,124.32
Ghana,136416.07,1309.34,2.354,3.201,104.19
U K,41403.6,1150.82,0.714,2.814,35.98
Mozambique,194632.76,1105.86,3.358,2.704,176.0
China P Rp,95615.1,956.68,1.65,2.339,99.94
Guinea Bissau,99087.64,934.25,1.71,2.284,106.06
Australia,197653.7,875.15,3.41,2.14,225.85
Cote D Ivoire,99732.14,840.57,1.721,2.055,118.65
Netherland,29458.92,737.98,0.508,1.804,39.92
Singapore,53021.68,668.65,0.915,1.635,79.3
Iran,162421.29,668.48,2.803,1.634,242.97
Chile,58309.44,662.22,1.006,1.619,88.05
Turkey,98041.46,621.95,1.692,1.521,157.64
Iraq,201969.71,603.69,3.485,1.476,334.56
Italy,51055.16,584.67,0.881,1.429,87.32
Thailand,20442.16,510.44,0.353,1.248,40.05
Sri Lanka Dsr,45768.04,504.24,0.79,1.233,90.77
New Zealand,37817.63,490.96,0.653,1.2,77.03
France,28247.03,450.66,0.487,1.102,62.68
Bangladesh Pr,65103.84,424.04,1.123,1.037,153.53
Brazil,63446.4,413.23,1.095,1.01,153.54
Germany,31557.87,400.53,0.545,0.979,78.79
Egypt A Rp,69322.62,375.1,1.196,0.917,184.81
Sudan,72344.56,344.76,1.248,0.843,209.84
South Africa,44037.11,311.49,0.76,0.762,141.38
Nigeria,40425.18,310.54,0.698,0.759,130.18
Guinea,41359.81,302.42,0.714,0.739,136.76
Nepal,60617.16,293.58,1.046,0.718,206.48
Vietnam Soc Rep,19127.72,281.88,0.33,0.689,67.86
Belgium,17322.32,280.63,0.299,0.686,61.73
Ireland,2337.43,254.04,0.04,0.621,9.2
Russia,73457.79,240.76,1.267,0.589,305.11
Kenya,32525.13,218.02,0.561,0.533,149.18
Malaysia,10649.03,217.09,0.184,0.531,49.05
Gambia,23329.35,215.4,0.403,0.527,108.31
Togo,24720.67,189.66,0.427,0.464,130.34
Burkina Faso,22607.19,174.47,0.39,0.427,129.58
Argentina,73989.96,173.79,1.277,0.425,425.74
Uganda,18524.24,163.77,0.32,0.4,113.11
Senegal,18141.75,163.27,0.313,0.399,111.12
Congo P Rep,7977.46,151.14,0.138,0.37,52.78
Ecuador,6984.63,137.21,0.121,0.335,50.9
Poland,9233.82,121.11,0.159,0.296,76.24
Korea Rp,4488.26,116.1,0.077,0.284,38.66
Japan,639.58,114.06,0.011,0.279,5.61
Spain,8629.45,112.93,0.149,0.276,76.41
Oman,10619.96,96.32,0.183,0.235,110.26
Taiwan,146.68,89.59,0.003,0.219,1.64
Madagascar,11662.21,84.68,0.201,0.207,137.72
Ethiopia,13590.43,83.79,0.234,0.205,162.2
Israel,5464.06,82.57,0.094,0.202,66.17
Djibouti,13337.0,82.48,0.23,0.202,161.7
Saudi Arab,9668.98,75.6,0.167,0.185,127.9
