Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Denmark,6031.49,71.29,0.104,0.174,84.6
Philippines,1264.16,54.2,0.022,0.133,23.32
Bhutan,14294.1,49.12,0.247,0.12,291.0
Hong Kong,3259.79,45.15,0.056,0.11,72.2
Mexico,4331.71,36.67,0.075,0.09,118.13
Hungary,5265.61,34.45,0.091,0.084,152.85
Switzerland,284.26,31.63,0.005,0.077,8.99
Congo D. Rep.,1225.71,25.15,0.021,0.061,48.74
Tunisia,2553.69,24.61,0.044,0.06,103.77
Ukraine,9346.7,24.6,0.161,0.06,379.95
Greece,903.03,22.19,0.016,0.054,40.7
Algeria,2622.15,21.03,0.045,0.051,124.69
Bulgaria,2032.6,18.78,0.035,0.046,108.23
Mali,3278.84,18.77,0.057,0.046,174.69
Malawi,3461.27,17.67,0.06,0.043,195.88
Lithuania,2945.62,16.04,0.051,0.039,183.64
Norway,2259.17,14.73,0.039,0.036,153.37
Venezuela,1722.04,11.1,0.03,0.027,155.14
Pakistan Ir,2378.64,9.3,0.041,0.023,255.77
Unspecified,871.27,7.56,0.015,0.018,115.25
Morocco,1053.19,7.34,0.018,0.018,143.49
Peru,402.55,7.18,0.007,0.018,56.07
Slovak Rep,549.98,7.11,0.009,0.017,77.35
Cambodia,1037.32,6.46,0.018,0.016,160.58
Latvia,1309.54,6.27,0.023,0.015,208.86
Liberia,276.24,5.15,0.005,0.013,53.64
Jordan,399.91,5.05,0.007,0.012,79.19
Slovenia,467.6,4.48,0.008,0.011,104.38
Uzbekistan,602.02,4.46,0.01,0.011,134.98
Austria,313.69,4.21,0.005,0.01,74.51
Portugal,298.99,4.09,0.005,0.01,73.1
Costa Rica,4.74,3.94,0.0,0.01,1.2
Kuwait,374.0,3.34,0.006,0.008,111.98
Serbia,337.06,3.22,0.006,0.008,104.68
Croatia,252.35,3.01,0.004,0.007,83.84
Nicaragua,364.0,2.62,0.006,0.006,138.93
Colombia,252.02,2.57,0.004,0.006,98.06
Baharain Is,235.65,2.5,0.004,0.006,94.26
Sweden,20.51,2.17,0.0,0.005,9.45
Kyrghyzstan,227.53,1.85,0.004,0.005,122.99
Mauritius,62.81,1.64,0.001,0.004,38.3
Netherlandantil,74.59,1.37,0.001,0.003,54.45
Dominic Rep,65.3,1.34,0.001,0.003,48.73
Estonia,21.36,1.32,0.0,0.003,16.18
Romania,44.4,1.27,0.001,0.003,34.96
Qatar,229.29,1.2,0.004,0.003,191.08
Guatemala,0.79,1.19,0.0,0.003,0.66
Paraguay,77.0,0.89,0.001,0.002,86.52
El Salvador,91.31,0.82,0.002,0.002,111.35
Georgia,22.56,0.71,0.0,0.002,31.77
Yemen Republc,93.0,0.62,0.002,0.002,150.0
Niger,108.0,0.57,0.002,0.001,189.47
Finland,31.21,0.43,0.001,0.001,72.58
Lebanon,43.87,0.42,0.001,0.001,104.45
Panama Republic,9.15,0.39,0.0,0.001,23.46
Bosnia-Hrzgovin,0.25,0.3,0.0,0.001,0.83
New Caledonia,2.2,0.19,0.0,0.0,11.58
Moldova,12.57,0.11,0.0,0.0,114.27
Czech Republic,0.69,0.07,0.0,0.0,9.86
Barbados,2.0,0.07,0.0,0.0,28.57
Pitcairn,6.93,0.06,0.0,0.0,115.5
Albania,8.88,0.06,0.0,0.0,148.0
N. Mariana Is.,5.3,0.05,0.0,0.0,106.0
Iceland,0.16,0.04,0.0,0.0,4.0
Namibia,0.06,0.01,0.0,0.0,6.0
Seychelles,0.01,0.0,0.0,0.0,inf
Belarus,0.01,0.0,0.0,0.0,inf
Maldives,0.02,0.0,0.0,0.0,inf
Mauritania,0.0,0.0,0.0,0.0,
Somalia,0.01,0.0,0.0,0.0,inf
Angola,0.0,0.0,0.0,0.0,
Zambia,0.01,0.0,0.0,0.0,inf
Cyprus,0.01,0.0,0.0,0.0,inf
Total,5795575.13,40900.82,100.0,100.0,141.7
