Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Canada,1507884.32,4637.19,30.888,19.34,325.17
Myanmar,915967.16,3811.54,18.763,15.896,240.31
U S A,311833.19,1932.76,6.388,8.061,161.34
Australia,390624.09,1373.01,8.002,5.726,284.5
China P Rp,189917.18,1363.29,3.89,5.686,139.31
U K,32194.46,1200.36,0.659,5.006,26.82
Afghanistan Tis,51719.59,724.67,1.059,3.022,71.37
Tanzania Rep,182630.22,685.91,3.741,2.861,266.26
Nepal,113282.47,675.38,2.321,2.817,167.73
Pakistan Ir,138028.18,655.16,2.827,2.732,210.68
Russia,216402.21,563.47,4.433,2.35,384.05
Bangladesh Pr,54241.4,413.33,1.111,1.724,131.23
France,37656.89,371.01,0.771,1.547,101.5
Iraq,138393.44,336.08,2.835,1.402,411.79
Netherland,16748.08,333.95,0.343,1.393,50.15
Singapore,10970.84,291.99,0.225,1.218,37.57
Mozambique,79042.14,288.88,1.619,1.205,273.62
Indonesia,17845.34,280.7,0.366,1.171,63.57
Thailand,21074.23,276.67,0.432,1.154,76.17
Italy,13464.69,258.45,0.276,1.078,52.1
Sri Lanka Dsr,25124.58,256.93,0.515,1.072,97.79
U Arab Emts,29837.03,248.0,0.611,1.034,120.31
New Zealand,21512.56,230.26,0.441,0.96,93.43
Chile,17747.86,211.05,0.364,0.88,84.09
Malaysia,12121.41,205.73,0.248,0.858,58.92
Ghana,11046.0,203.42,0.226,0.848,54.3
Brazil,34308.03,188.91,0.703,0.788,181.61
Kenya,36982.46,186.66,0.758,0.778,198.13
Germany,7720.8,166.36,0.158,0.694,46.41
Egypt A Rp,33852.59,140.61,0.693,0.586,240.76
Spain,7484.77,126.27,0.153,0.527,59.28
Argentina,16153.56,96.63,0.331,0.403,167.17
Iran,25795.99,93.08,0.528,0.388,277.14
Ethiopia,17757.97,85.28,0.364,0.356,208.23
Malawi,22428.25,85.04,0.459,0.355,263.74
South Africa,12402.4,76.8,0.254,0.32,161.49
Austria,9647.08,76.13,0.198,0.318,126.72
Uzbekistan,10892.16,67.13,0.223,0.28,162.25
Turkey,8857.44,65.64,0.181,0.274,134.94
Ukraine,20346.66,53.51,0.417,0.223,380.24
Vietnam Soc Rep,13526.0,50.27,0.277,0.21,269.07
Belgium,3876.41,49.17,0.079,0.205,78.84
Switzerland,790.62,45.84,0.016,0.191,17.25
Denmark,3170.45,44.68,0.065,0.186,70.96
Madagascar,8293.88,36.63,0.17,0.153,226.42
Israel,2588.63,34.63,0.053,0.144,74.75
Uganda,2534.37,33.49,0.052,0.14,75.68
Oman,4793.14,33.17,0.098,0.138,144.5
Taiwan,124.45,31.36,0.003,0.131,3.97
Mexico,3585.62,30.93,0.073,0.129,115.93
Bhutan,2496.91,23.26,0.051,0.097,107.35
Korea Rp,555.59,22.29,0.011,0.093,24.93
Philippines,1006.25,21.2,0.021,0.088,47.46
Japan,434.99,20.59,0.009,0.086,21.13
Poland,896.31,20.56,0.018,0.086,43.59
Unspecified,819.06,18.7,0.017,0.078,43.8
Sweden,407.81,17.67,0.008,0.074,23.08
Saudi Arab,2039.27,13.15,0.042,0.055,155.08
Tunisia,1860.34,10.6,0.038,0.044,175.5
Peru,751.51,8.54,0.015,0.036,88.0
Cote D Ivoire,322.23,6.95,0.007,0.029,46.36
Algeria,1095.92,6.03,0.022,0.025,181.74
Greece,377.15,5.24,0.008,0.022,71.98
Ireland,116.28,4.88,0.002,0.02,23.83
Slovak Rep,130.31,4.24,0.003,0.018,30.73
Guatemala,0.66,3.67,0.0,0.015,0.18
Colombia,138.33,2.85,0.003,0.012,48.54
Lebanon,260.91,2.85,0.005,0.012,91.55
Portugal,202.07,2.62,0.004,0.011,77.13
Congo P Rep,196.08,2.5,0.004,0.01,78.43
Baharain Is,94.86,2.41,0.002,0.01,39.36
Hong Kong,203.94,1.91,0.004,0.008,106.77
Reunion,2.52,1.84,0.0,0.008,1.37
Sierra Leone,128.0,1.73,0.003,0.007,73.99
Eswatini,50.0,1.71,0.001,0.007,29.24
Finland,44.65,1.55,0.001,0.006,28.81
Hungary,23.85,1.53,0.0,0.006,15.59
Kazakhstan,386.09,1.49,0.008,0.006,259.12
Bulgaria,18.19,1.23,0.0,0.005,14.79
Latvia,48.94,1.2,0.001,0.005,40.78
Papua N Gna,60.0,1.17,0.001,0.005,51.28
Cyprus,109.06,1.12,0.002,0.005,97.37
Kuwait,13.03,1.07,0.0,0.004,12.18
Kyrghyzstan,135.0,1.03,0.003,0.004,131.07
Somalia,196.5,0.98,0.004,0.004,200.51
Estonia,15.79,0.89,0.0,0.004,17.74
Czech Republic,306.34,0.88,0.006,0.004,348.11
Norway,28.27,0.87,0.001,0.004,32.49
Guinea,49.25,0.75,0.001,0.003,65.67
Morocco,59.93,0.74,0.001,0.003,80.99
Mauritius,13.46,0.6,0.0,0.003,22.43
Romania,126.91,0.58,0.003,0.002,218.81
Costa Rica,15.34,0.52,0.0,0.002,29.5
Puerto Rico,8.47,0.45,0.0,0.002,18.82
Georgia,0.01,0.41,0.0,0.002,0.02
Netherlandantil,7.0,0.31,0.0,0.001,22.58
Trinidad,16.0,0.28,0.0,0.001,57.14
Maldives,5.51,0.26,0.0,0.001,21.19
Nicaragua,44.04,0.25,0.001,0.001,176.16
Benin,25.0,0.24,0.001,0.001,104.17
Jordan,29.8,0.23,0.001,0.001,129.57
Luxembourg,5.51,0.21,0.0,0.001,26.24
Slovenia,1.9,0.19,0.0,0.001,10.0
Jamaica,4.04,0.17,0.0,0.001,23.76
Belize,15.82,0.16,0.0,0.001,98.88
Nigeria,83.83,0.13,0.002,0.001,644.85
Macedonia,7.6,0.1,0.0,0.0,76.0
Guadeloupe,0.0,0.08,0.0,0.0,0.0
Belarus,2.0,0.08,0.0,0.0,25.0
Serbia,0.55,0.08,0.0,0.0,6.88
Lithuania,4.46,0.06,0.0,0.0,74.33
Cuba,1.89,0.06,0.0,0.0,31.5
Uruguay,1.2,0.04,0.0,0.0,30.0
Syria,0.5,0.01,0.0,0.0,50.0
Croatia,0.08,0.01,0.0,0.0,8.0
Ecuador,0.3,0.01,0.0,0.0,30.0
Namibia,0.1,0.0,0.0,0.0,inf
Fiji Is,0.06,0.0,0.0,0.0,inf
Total,4881726.86,23977.42,100.0,100.0,203.6
