Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Myanmar,1038691.94,2815.03,31.163,27.678,368.98
Canada,922189.71,2111.13,27.668,20.757,436.82
U S A,163365.67,658.26,4.901,6.472,248.18
Australia,235669.97,558.38,7.071,5.49,422.06
China P Rp,109004.05,475.88,3.27,4.679,229.06
U K,18028.82,333.28,0.541,3.277,54.1
Brazil,71236.06,273.67,2.137,2.691,260.3
Afghanistan Tis,19771.22,264.61,0.593,2.602,74.72
France,67324.1,257.86,2.02,2.535,261.09
Tanzania Rep,83178.46,240.44,2.496,2.364,345.94
Nepal,73129.46,211.81,2.194,2.083,345.26
Pakistan Ir,96790.93,182.04,2.904,1.79,531.7
Netherland,10577.76,143.19,0.317,1.408,73.87
Thailand,22179.29,121.3,0.665,1.193,182.85
Chile,20048.27,112.76,0.601,1.109,177.8
Iraq,70316.08,91.19,2.11,0.897,771.09
Indonesia,32368.94,90.82,0.971,0.893,356.41
New Zealand,13008.75,87.08,0.39,0.856,149.39
Ukraine,41922.98,86.41,1.258,0.85,485.16
U Arab Emts,13061.93,76.41,0.392,0.751,170.95
Italy,7004.48,74.43,0.21,0.732,94.11
Malaysia,8011.04,65.83,0.24,0.647,121.69
Ghana,4585.96,59.55,0.138,0.586,77.01
Germany,5873.77,57.3,0.176,0.563,102.51
Russia,24425.56,57.29,0.733,0.563,426.35
Iran,49947.62,56.3,1.499,0.554,887.17
Egypt A Rp,9801.54,50.43,0.294,0.496,194.36
Singapore,4463.45,42.92,0.134,0.422,103.99
Sri Lanka Dsr,4936.19,41.6,0.148,0.409,118.66
Denmark,2377.42,33.34,0.071,0.328,71.31
Bangladesh Pr,14287.71,30.99,0.429,0.305,461.04
Argentina,8196.69,29.63,0.246,0.291,276.63
Mozambique,9010.25,28.36,0.27,0.279,317.71
Malawi,8618.0,26.76,0.259,0.263,322.05
Belgium,6865.63,24.69,0.206,0.243,278.07
South Africa,4768.13,24.54,0.143,0.241,194.3
Spain,1817.95,19.22,0.055,0.189,94.59
Austria,2928.67,18.61,0.088,0.183,157.37
Japan,499.53,18.44,0.015,0.181,27.09
Korea Rp,625.3,16.48,0.019,0.162,37.94
Oman,6047.37,15.95,0.181,0.157,379.15
Poland,1110.87,15.03,0.033,0.148,73.91
Unspecified,1378.37,13.13,0.041,0.129,104.98
Switzerland,456.25,12.55,0.014,0.123,36.35
Israel,1116.99,11.38,0.034,0.112,98.15
Taiwan,101.94,10.05,0.003,0.099,10.14
Turkey,1286.54,9.8,0.039,0.096,131.28
Mexico,921.61,9.56,0.028,0.094,96.4
Saudi Arab,3040.03,9.51,0.091,0.094,319.67
Ethiopia,2825.09,8.73,0.085,0.086,323.61
Ireland,401.37,7.2,0.012,0.071,55.75
Sweden,313.92,6.41,0.009,0.063,48.97
Uganda,366.99,5.82,0.011,0.057,63.06
Philippines,467.27,5.65,0.014,0.056,82.7
Nigeria,600.05,5.65,0.018,0.056,106.2
Bhutan,1901.47,5.03,0.057,0.049,378.03
Cameroon,407.0,5.03,0.012,0.049,80.91
Kenya,1811.37,4.74,0.054,0.047,382.15
Vietnam Soc Rep,2142.86,4.59,0.064,0.045,466.85
Togo,349.0,4.41,0.01,0.043,79.14
Baharain Is,147.04,3.3,0.004,0.032,44.56
Costa Rica,64.28,3.22,0.002,0.032,19.96
Madagascar,1288.83,3.01,0.039,0.03,428.18
Lithuania,1087.0,2.64,0.033,0.026,411.74
Portugal,427.47,2.62,0.013,0.026,163.16
Uzbekistan,828.51,2.29,0.025,0.023,361.79
Hong Kong,45.03,2.02,0.001,0.02,22.29
Cote D Ivoire,208.0,1.74,0.006,0.017,119.54
Lebanon,115.54,1.65,0.003,0.016,70.02
Senegal,1.96,1.54,0.0,0.015,1.27
Finland,76.02,1.3,0.002,0.013,58.48
Greece,64.53,0.83,0.002,0.008,77.75
Peru,125.63,0.71,0.004,0.007,176.94
Slovenia,18.0,0.66,0.001,0.006,27.27
Bahamas,21.41,0.37,0.001,0.004,57.86
Norway,19.76,0.37,0.001,0.004,53.41
Cuba,71.97,0.36,0.002,0.004,199.92
Uruguay,67.0,0.35,0.002,0.003,191.43
Estonia,7.3,0.3,0.0,0.003,24.33
Mauritius,41.42,0.29,0.001,0.003,142.83
Hungary,12.5,0.26,0.0,0.003,48.08
Jordan,25.0,0.24,0.001,0.002,104.17
Tunisia,91.29,0.24,0.003,0.002,380.38
Morocco,5.63,0.19,0.0,0.002,29.63
Kyrghyzstan,64.0,0.19,0.002,0.002,336.84
Kuwait,32.43,0.17,0.001,0.002,190.76
Trinidad,4.42,0.14,0.0,0.001,31.57
Congo P Rep,0.7,0.14,0.0,0.001,5.0
Bulgaria,14.22,0.12,0.0,0.001,118.5
Syria,16.92,0.1,0.001,0.001,169.2
Czech Republic,0.67,0.09,0.0,0.001,7.44
Algeria,40.02,0.08,0.001,0.001,500.25
Eswatini,5.39,0.08,0.0,0.001,67.38
Yemen Republc,21.0,0.07,0.001,0.001,300.0
Fr Polynesia,24.0,0.06,0.001,0.001,400.0
Korea Dp Rp,0.76,0.06,0.0,0.001,12.67
Cyprus,8.22,0.06,0.0,0.001,137.0
Honduras,0.03,0.05,0.0,0.0,0.6
Vanuatu,0.83,0.04,0.0,0.0,20.75
Belarus,1.0,0.04,0.0,0.0,25.0
Maldives,0.98,0.04,0.0,0.0,24.5
Ameri Samoa,1.0,0.02,0.0,0.0,50.0
Romania,0.31,0.02,0.0,0.0,15.5
Netherlandantil,0.25,0.01,0.0,0.0,25.0
Puerto Rico,0.36,0.0,0.0,0.0,inf
Colombia,0.16,0.0,0.0,0.0,inf
Total,3333054.43,10170.56,100.0,100.0,327.72
