Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Myanmar,967921.17,3562.84,18.658,15.712,271.67
Canada,1110741.21,3036.6,21.411,13.391,365.78
Australia,758714.6,2827.32,14.625,12.468,268.35
U S A,283995.45,1627.74,5.474,7.178,174.47
China P Rp,199890.94,1252.88,3.853,5.525,159.55
U K,31352.81,1008.69,0.604,4.448,31.08
Russia,325267.88,928.18,6.27,4.093,350.44
Bangladesh Pr,104964.65,598.84,2.023,2.641,175.28
France,140948.81,561.18,2.717,2.475,251.17
Tanzania Rep,146225.57,553.17,2.819,2.439,264.34
Pakistan Ir,127537.01,532.18,2.458,2.347,239.65
Afghanistan Tis,37907.71,483.54,0.731,2.132,78.4
Ghana,20685.55,326.78,0.399,1.441,63.3
Nepal,86393.74,326.52,1.665,1.44,264.59
Iraq,144513.31,302.5,2.786,1.334,477.73
Netherland,16146.68,279.77,0.311,1.234,57.71
Indonesia,27659.93,271.69,0.533,1.198,101.81
Singapore,10439.99,264.64,0.201,1.167,39.45
Mozambique,77308.44,260.88,1.49,1.15,296.34
Chile,24287.72,237.89,0.468,1.049,102.1
Argentina,76307.56,219.17,1.471,0.967,348.17
Thailand,16519.4,218.66,0.318,0.964,75.55
New Zealand,24760.22,212.04,0.477,0.935,116.77
Malawi,65744.7,206.63,1.267,0.911,318.18
Italy,13294.77,203.24,0.256,0.896,65.41
Malaysia,11389.06,193.32,0.22,0.853,58.91
U Arab Emts,20681.6,181.63,0.399,0.801,113.87
Egypt A Rp,30286.39,165.74,0.584,0.731,182.73
Brazil,28712.23,138.89,0.553,0.612,206.73
Germany,7038.15,137.45,0.136,0.606,51.21
Ethiopia,29748.17,135.93,0.573,0.599,218.85
Sri Lanka Dsr,7478.53,123.59,0.144,0.545,60.51
Ukraine,48549.89,114.71,0.936,0.506,423.24
Mexico,14221.51,107.82,0.274,0.475,131.9
Iran,35226.74,105.09,0.679,0.463,335.21
Spain,5118.31,87.24,0.099,0.385,58.67
South Africa,15649.39,85.95,0.302,0.379,182.08
Kenya,15460.35,71.55,0.298,0.316,216.08
Uzbekistan,12953.0,64.6,0.25,0.285,200.51
Turkey,8726.71,63.73,0.168,0.281,136.93
Madagascar,15082.5,60.87,0.291,0.268,247.78
Austria,6765.16,52.65,0.13,0.232,128.49
Switzerland,1057.07,45.2,0.02,0.199,23.39
Belgium,3769.98,44.6,0.073,0.197,84.53
Denmark,2053.51,38.74,0.04,0.171,53.01
Israel,2287.22,33.87,0.044,0.149,67.53
Unspecified,943.73,30.23,0.018,0.133,31.22
Vietnam Soc Rep,5137.06,28.57,0.099,0.126,179.81
Philippines,597.67,23.64,0.012,0.104,25.28
Korea Rp,500.29,23.6,0.01,0.104,21.2
Taiwan,257.38,20.29,0.005,0.089,12.69
Oman,3215.95,20.17,0.062,0.089,159.44
Uganda,1698.08,19.13,0.033,0.084,88.77
Poland,1120.08,18.2,0.022,0.08,61.54
Japan,516.96,18.15,0.01,0.08,28.48
Sweden,297.2,13.33,0.006,0.059,22.3
Saudi Arab,2867.43,13.25,0.055,0.058,216.41
Peru,1222.05,11.33,0.024,0.05,107.86
Cote D Ivoire,746.42,10.47,0.014,0.046,71.29
Tunisia,1453.35,7.61,0.028,0.034,190.98
Colombia,304.97,4.92,0.006,0.022,61.99
Baharain Is,241.22,4.7,0.005,0.021,51.32
Ireland,80.6,3.74,0.002,0.016,21.55
Lebanon,364.25,3.39,0.007,0.015,107.45
Hong Kong,128.01,3.38,0.002,0.015,37.87
Guinea,239.0,3.17,0.005,0.014,75.39
Bhutan,928.54,2.74,0.018,0.012,338.88
Greece,122.93,2.54,0.002,0.011,48.4
Algeria,589.0,2.5,0.011,0.011,235.6
Costa Rica,12.46,2.47,0.0,0.011,5.04
Sudan,671.0,2.44,0.013,0.011,275.0
Lithuania,200.17,2.16,0.004,0.01,92.67
Finland,49.22,2.15,0.001,0.009,22.89
Guatemala,4.63,1.9,0.0,0.008,2.44
Hungary,32.96,1.8,0.001,0.008,18.31
Portugal,108.35,1.67,0.002,0.007,64.88
Congo P Rep,99.5,1.34,0.002,0.006,74.25
Jamaica,46.27,1.3,0.001,0.006,35.59
Benin,3.94,1.09,0.0,0.005,3.61
Czech Republic,390.13,1.08,0.008,0.005,361.23
Netherlandantil,64.12,1.07,0.001,0.005,59.93
Reunion,2.56,1.0,0.0,0.004,2.56
Slovenia,32.07,0.97,0.001,0.004,33.06
Cyprus,79.03,0.95,0.002,0.004,83.19
Djibouti,210.0,0.85,0.004,0.004,247.06
Morocco,74.6,0.75,0.001,0.003,99.47
Estonia,14.45,0.7,0.0,0.003,20.64
Bulgaria,61.02,0.5,0.001,0.002,122.04
Slovak Rep,42.72,0.48,0.001,0.002,89.0
Georgia,20.09,0.43,0.0,0.002,46.72
Romania,18.01,0.43,0.0,0.002,41.88
Mauritius,6.86,0.37,0.0,0.002,18.54
Jordan,59.7,0.31,0.001,0.001,192.58
Luxembourg,10.43,0.3,0.0,0.001,34.77
Norway,19.3,0.27,0.0,0.001,71.48
Kyrghyzstan,24.0,0.2,0.0,0.001,120.0
Qatar,12.18,0.19,0.0,0.001,64.11
Korea Dp Rp,0.25,0.17,0.0,0.001,1.47
Eswatini,0.44,0.14,0.0,0.001,3.14
Trinidad,13.61,0.13,0.0,0.001,104.69
Ecuador,11.05,0.11,0.0,0.0,100.45
Uruguay,5.03,0.11,0.0,0.0,45.73
Maldives,12.0,0.1,0.0,0.0,120.0
Belize,7.0,0.09,0.0,0.0,77.78
Puerto Rico,1.52,0.08,0.0,0.0,19.0
Kuwait,2.97,0.07,0.0,0.0,42.43
Honduras,2.58,0.05,0.0,0.0,51.6
Serbia,0.36,0.04,0.0,0.0,9.0
Botswana,1.0,0.04,0.0,0.0,25.0
Nigeria,23.94,0.03,0.0,0.0,798.0
Croatia,0.87,0.03,0.0,0.0,29.0
Cuba,0.45,0.02,0.0,0.0,22.5
Namibia,0.4,0.01,0.0,0.0,40.0
Liberia,0.06,0.0,0.0,0.0,inf
Burkina Faso,0.13,0.0,0.0,0.0,inf
Latvia,0.1,0.0,0.0,0.0,inf
Cambodia,0.02,0.0,0.0,0.0,inf
Cameroon,0.01,0.0,0.0,0.0,inf
Total,5187811.02,22676.18,100.0,100.0,228.78
