Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Canada,2201076.01,6635.32,36.112,21.041,331.72
Myanmar,956608.13,5072.3,15.695,16.085,188.59
U S A,467023.41,2572.99,7.662,8.159,181.51
Australia,405887.92,1416.34,6.659,4.491,286.58
U K,36677.07,1396.11,0.602,4.427,26.27
China P Rp,194124.4,1281.66,3.185,4.064,151.46
Afghanistan Tis,39125.72,948.76,0.642,3.009,41.24
Tanzania Rep,181713.48,897.41,2.981,2.846,202.49
Nepal,105580.73,886.46,1.732,2.811,119.1
Pakistan Ir,141366.47,687.98,2.319,2.182,205.48
Sri Lanka Dsr,55369.01,671.27,0.908,2.129,82.48
Russia,237944.62,661.31,3.904,2.097,359.81
Bangladesh Pr,62221.5,583.51,1.021,1.85,106.63
Netherland,50589.79,524.07,0.83,1.662,96.53
Chile,49128.96,460.18,0.806,1.459,106.76
Mozambique,97546.06,443.74,1.6,1.407,219.83
Indonesia,23761.47,362.14,0.39,1.148,65.61
Iraq,145768.51,361.42,2.392,1.146,403.32
Thailand,20174.54,344.08,0.331,1.091,58.63
Singapore,10340.51,336.35,0.17,1.067,30.74
Italy,22702.03,328.23,0.372,1.041,69.17
France,16067.59,324.93,0.264,1.03,49.45
Egypt A Rp,56433.05,280.55,0.926,0.89,201.15
New Zealand,19884.41,271.64,0.326,0.861,73.2
Malaysia,12374.45,260.53,0.203,0.826,47.5
U Arab Emts,30476.96,256.29,0.5,0.813,118.92
Germany,11048.14,216.34,0.181,0.686,51.07
Cote D Ivoire,10352.04,208.44,0.17,0.661,49.66
Malawi,46015.0,207.06,0.755,0.657,222.23
Ethiopia,31605.3,165.53,0.519,0.525,190.93
Ukraine,64696.82,160.99,1.061,0.511,401.87
Brazil,33941.65,156.39,0.557,0.496,217.03
Spain,21943.55,151.1,0.36,0.479,145.23
Ghana,6454.1,149.88,0.106,0.475,43.06
Iran,33197.89,119.9,0.545,0.38,276.88
Kenya,18106.58,106.32,0.297,0.337,170.3
Austria,12449.41,98.31,0.204,0.312,126.63
South Africa,13670.35,93.0,0.224,0.295,146.99
Uzbekistan,12477.89,92.77,0.205,0.294,134.5
Mexico,11408.42,85.34,0.187,0.271,133.68
Belgium,7768.16,82.17,0.127,0.261,94.54
Turkey,11552.38,79.74,0.19,0.253,144.88
Argentina,14789.11,78.45,0.243,0.249,188.52
Sudan,17108.02,77.81,0.281,0.247,219.87
Ecuador,3781.9,77.22,0.062,0.245,48.98
Switzerland,1587.77,66.81,0.026,0.212,23.77
Poland,2714.5,64.06,0.045,0.203,42.37
Madagascar,10512.49,54.58,0.172,0.173,192.61
Uganda,4935.31,47.59,0.081,0.151,103.7
Israel,3712.24,47.33,0.061,0.15,78.43
Denmark,2428.29,47.04,0.04,0.149,51.62
Korea Rp,1026.8,43.99,0.017,0.139,23.34
Nigeria,2074.98,43.86,0.034,0.139,47.31
Vietnam Soc Rep,11123.07,42.96,0.182,0.136,258.92
Oman,6029.61,42.77,0.099,0.136,140.98
Taiwan,94.07,39.2,0.002,0.124,2.4
Bhutan,7580.0,38.91,0.124,0.123,194.81
Saudi Arab,3200.72,35.25,0.053,0.112,90.8
Philippines,1793.47,30.83,0.029,0.098,58.17
Sweden,797.03,28.77,0.013,0.091,27.7
Japan,543.58,25.06,0.009,0.079,21.69
Peru,1388.33,24.9,0.023,0.079,55.76
Dominic Rep,907.24,17.87,0.015,0.057,50.77
Ireland,239.93,12.84,0.004,0.041,18.69
Tunisia,1825.09,10.67,0.03,0.034,171.05
Colombia,834.23,9.53,0.014,0.03,87.54
Slovak Rep,275.46,9.29,0.005,0.029,29.65
Algeria,1340.68,7.63,0.022,0.024,175.71
Unspecified,259.94,7.2,0.004,0.023,36.1
Guatemala,0.6,6.58,0.0,0.021,0.09
Baharain Is,337.64,6.18,0.006,0.02,54.63
Moldova,2317.0,5.44,0.038,0.017,425.92
Hungary,93.16,4.82,0.002,0.015,19.33
Guinea,267.0,4.56,0.004,0.014,58.55
Hong Kong,193.59,3.06,0.003,0.01,63.26
Bulgaria,48.95,3.01,0.001,0.01,16.26
Greece,222.35,2.95,0.004,0.009,75.37
Netherlandantil,118.25,2.91,0.002,0.009,40.64
Finland,244.62,2.73,0.004,0.009,89.6
Portugal,132.17,2.7,0.002,0.009,48.95
Kyrghyzstan,284.0,2.38,0.005,0.008,119.33
Puerto Rico,34.6,2.04,0.001,0.006,16.96
Serbia,25.0,1.61,0.0,0.005,15.53
Antigua,35.6,1.58,0.001,0.005,22.53
Cambodia,473.0,1.41,0.008,0.004,335.46
Costa Rica,112.89,1.32,0.002,0.004,85.52
Latvia,41.18,1.04,0.001,0.003,39.6
Lebanon,126.95,0.83,0.002,0.003,152.95
Morocco,65.23,0.83,0.001,0.003,78.59
Yemen Republc,245.0,0.79,0.004,0.003,310.13
Norway,23.4,0.74,0.0,0.002,31.62
Jamaica,23.18,0.7,0.0,0.002,33.11
Czech Republic,25.61,0.57,0.0,0.002,44.93
Croatia,9.57,0.49,0.0,0.002,19.53
Romania,6.94,0.3,0.0,0.001,23.13
Mauritius,4.53,0.29,0.0,0.001,15.62
Virgin Is Us,6.23,0.29,0.0,0.001,21.48
Luxembourg,3.5,0.26,0.0,0.001,13.46
Estonia,4.3,0.23,0.0,0.001,18.7
Slovenia,4.0,0.2,0.0,0.001,20.0
Macedonia,5.14,0.15,0.0,0.0,34.27
Antarctica,4.7,0.14,0.0,0.0,33.57
Rwanda,11.0,0.13,0.0,0.0,84.62
Cyprus,21.0,0.11,0.0,0.0,190.91
Uruguay,2.36,0.08,0.0,0.0,29.5
Belarus,1.7,0.06,0.0,0.0,28.33
Niger,0.08,0.04,0.0,0.0,2.0
Lithuania,3.22,0.03,0.0,0.0,107.33
Korea Dp Rp,0.17,0.02,0.0,0.0,8.5
Honduras,0.07,0.01,0.0,0.0,7.0
Eswatini,0.1,0.01,0.0,0.0,10.0
Jordan,0.5,0.01,0.0,0.0,50.0
Liberia,0.2,0.01,0.0,0.0,20.0
Papua N Gna,0.02,0.0,0.0,0.0,inf
Mauritania,0.14,0.0,0.0,0.0,inf
Fiji Is,0.09,0.0,0.0,0.0,inf
Maldives,0.06,0.0,0.0,0.0,inf
Lao Pd Rp,2.48,0.0,0.0,0.0,inf
Kazakhstan,0.1,0.0,0.0,0.0,inf
Total,6095141.51,31534.91,100.0,100.0,193.28
