Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,3757271.42,29299.96,12.524,21.399,128.23
BUFFALO MEAT,1451941.75,26472.35,4.84,19.334,54.85
NON BASMATI RICE,7133183.37,17749.96,23.776,12.964,401.87
GUARGUM,601945.42,11734.52,2.006,8.57,51.3
WHEAT,5562374.74,9261.61,18.54,6.764,600.58
MAIZE,3954236.61,5983.66,13.18,4.37,660.84
DAIRY PRODUCTS,159228.51,3318.57,0.531,2.424,47.98
GROUNDNUTS,509664.84,3187.74,1.699,2.328,159.88
FRESH ONIONS,1482498.58,3169.61,4.941,2.315,467.72
CEREAL PREPARATIONS,321468.07,2855.0,1.072,2.085,112.6
ALCOHOLIC BEVERAGES,311564.19,2393.58,1.038,1.748,130.17
MISCELLANEOUS PREPARATIONS,338972.77,2183.89,1.13,1.595,155.22
OTHER FRESH VEGETABLES,881598.72,2027.99,2.939,1.481,434.72
"PROCESSED FRUITS, JUICES & NUTS",246131.21,1823.52,0.82,1.332,134.98
PULSES,345276.72,1747.63,1.151,1.276,197.57
PROCESSED VEGETABLES,204662.62,1707.39,0.682,1.247,119.87
FRESH GRAPES,160256.26,1437.07,0.534,1.05,111.52
JAGGERY & CONFECTIONERY,266471.96,1136.88,0.888,0.83,234.39
MILLED PRODUCTS,418397.99,1005.77,1.395,0.735,416.0
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),218749.79,955.2,0.729,0.698,229.01
OTHER FRESH FRUITS,232109.67,924.37,0.774,0.675,251.1
MANGO PULP,174860.33,772.95,0.583,0.565,226.22
OTHER CEREALS,441281.76,708.7,1.471,0.518,622.66
SHEEP/GOAT MEAT,20425.85,679.58,0.068,0.496,30.06
CASEIN,11461.71,636.93,0.038,0.465,18.0
COCOA PRODUCTS,15962.96,570.78,0.053,0.417,27.97
POULTRY PRODUCTS,437673.53,565.87,1.459,0.413,773.45
FLORICULTURE,22485.21,455.91,0.075,0.333,49.32
Millet,216418.78,448.21,0.721,0.327,482.85
NATURAL HONEY,28378.4,445.01,0.095,0.325,63.77
FRUITS & VEGETABLES SEEDS,17816.7,410.54,0.059,0.3,43.4
WALNUTS,6724.48,324.42,0.022,0.237,20.73
FRESH MANGOES,41279.97,285.43,0.138,0.208,144.62
ALBUMIN( Eggs & Milk ),2025.32,131.64,0.007,0.096,15.39
OTHERS (BETEL LEAVES & NUTS),5685.08,70.36,0.019,0.051,80.8
ANIMAL CASINGS,352.2,28.46,0.001,0.021,12.38
PROCESSED MEAT,488.78,6.92,0.002,0.005,70.63
OTHER MEAT,255.23,3.23,0.001,0.002,79.02
Total,30001581.5,136921.21,100.0,100.0,219.12
