Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BUFFALO MEAT,1476309.78,29289.16,5.441,22.3,50.4
BASMATI RICE,3702260.07,27597.89,13.644,21.012,134.15
NON BASMATI RICE,8274046.02,20428.54,30.493,15.554,405.02
GUARGUM,665177.71,9479.94,2.451,7.218,70.17
WHEAT,2924070.18,4991.84,10.776,3.801,585.77
GROUNDNUTS,708386.26,4675.37,2.611,3.56,151.51
MAIZE,2825610.6,4037.51,10.413,3.074,699.84
CEREAL PREPARATIONS,306328.81,3038.76,1.129,2.314,100.81
MISCELLANEOUS PREPARATIONS,372998.36,2437.81,1.375,1.856,153.01
FRESH ONIONS,1238102.6,2300.54,4.563,1.752,538.18
ALCOHOLIC BEVERAGES,264625.53,2231.62,0.975,1.699,118.58
OTHER FRESH VEGETABLES,798600.54,2158.67,2.943,1.644,369.95
PROCESSED VEGETABLES,180388.47,1913.4,0.665,1.457,94.28
"PROCESSED FRUITS, JUICES & NUTS",253346.85,1899.75,0.934,1.446,133.36
PULSES,222262.07,1219.08,0.819,0.928,182.32
DAIRY PRODUCTS,66424.37,1205.4,0.245,0.918,55.11
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),251183.01,1202.42,0.926,0.915,208.9
JAGGERY & CONFECTIONERY,258252.73,1161.81,0.952,0.885,222.28
OTHER FRESH FRUITS,261211.71,1084.06,0.963,0.825,240.96
MILLED PRODUCTS,415984.45,1019.09,1.533,0.776,408.19
FRESH GRAPES,94377.41,972.77,0.348,0.741,97.02
COCOA PRODUCTS,20877.7,848.66,0.077,0.646,24.6
MANGO PULP,154820.66,841.39,0.571,0.641,184.01
SHEEP/GOAT MEAT,22827.77,821.54,0.084,0.625,27.79
OTHER CEREALS,430812.94,683.49,1.588,0.52,630.31
POULTRY PRODUCTS,556698.81,651.19,2.052,0.496,854.89
Millet,257386.98,540.53,0.949,0.412,476.18
NATURAL HONEY,29578.56,535.1,0.109,0.407,55.28
FLORICULTURE,22947.27,460.77,0.085,0.351,49.8
CASEIN,8168.05,428.53,0.03,0.326,19.06
FRUITS & VEGETABLES SEEDS,12499.31,427.04,0.046,0.325,29.27
FRESH MANGOES,42998.33,302.54,0.158,0.23,142.12
ALBUMIN( Eggs & Milk ),2125.02,161.19,0.008,0.123,13.18
WALNUTS,2663.03,136.39,0.01,0.104,19.53
OTHERS (BETEL LEAVES & NUTS),9031.31,123.01,0.033,0.094,73.42
ANIMAL CASINGS,260.15,19.33,0.001,0.015,13.46
PROCESSED MEAT,406.11,14.2,0.001,0.011,28.6
OTHER MEAT,261.92,2.67,0.001,0.002,98.1
Total,27134311.45,131343.0,100.0,100.0,206.59
