Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
GUARGUM,707326.43,16523.87,3.628,19.984,42.81
BASMATI RICE,3107280.36,15084.43,15.937,18.243,205.99
BUFFALO MEAT,987714.46,13757.34,5.066,16.638,71.8
NON BASMATI RICE,3985294.86,8629.93,20.44,10.437,461.8
GROUNDNUTS,823500.99,5181.4,4.224,6.266,158.93
MAIZE,3820554.74,5110.33,19.595,6.18,747.61
CEREAL PREPARATIONS,301176.67,1887.16,1.545,2.282,159.59
FRESH ONIONS,1308475.94,1720.57,6.711,2.081,760.49
ALCOHOLIC BEVERAGES,214097.2,1459.21,1.098,1.765,146.72
PROCESSED VEGETABLES,223157.97,1236.39,1.145,1.495,180.49
MISCELLANEOUS PREPARATIONS,229276.62,1218.63,1.176,1.474,188.14
OTHER FRESH VEGETABLES,663026.41,1148.87,3.401,1.389,577.11
"PROCESSED FRUITS, JUICES & NUTS",202824.93,1115.08,1.04,1.349,181.89
PULSES,174554.12,1067.4,0.895,1.291,163.53
WHEAT,740746.76,1023.27,3.799,1.238,723.9
JAGGERY & CONFECTIONERY,207686.07,764.17,1.065,0.924,271.78
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),258603.0,745.03,1.326,0.901,347.1
OTHER FRESH FRUITS,261827.26,714.61,1.343,0.864,366.39
MANGO PULP,150499.06,620.83,0.772,0.751,242.42
FRESH GRAPES,94860.03,516.76,0.487,0.625,183.57
POULTRY PRODUCTS,613381.44,452.68,3.146,0.547,1355.0
FLORICULTURE,30926.02,365.32,0.159,0.442,84.65
MILLED PRODUCTS,171131.99,358.87,0.878,0.434,476.86
NATURAL HONEY,25348.9,315.04,0.13,0.381,80.46
DAIRY PRODUCTS,25632.83,289.3,0.131,0.35,88.6
FRUITS & VEGETABLES SEEDS,15205.81,287.76,0.078,0.348,52.84
SHEEP/GOAT MEAT,10085.04,243.62,0.052,0.295,41.4
WALNUTS,5828.74,230.99,0.03,0.279,25.23
FRESH MANGOES,63432.96,209.69,0.325,0.254,302.51
COCOA PRODUCTS,16678.58,175.98,0.086,0.213,94.78
OTHER CEREALS,45242.66,64.27,0.232,0.078,703.95
ALBUMIN( Eggs & Milk ),1454.31,53.03,0.007,0.064,27.42
CASEIN,838.66,37.2,0.004,0.045,22.54
ANIMAL CASINGS,923.56,27.05,0.005,0.033,34.14
OTHERS (BETEL LEAVES & NUTS),2472.04,20.09,0.013,0.024,123.05
Millet,5803.33,18.23,0.03,0.022,318.34
PROCESSED MEAT,575.94,9.5,0.003,0.011,60.63
OTHER MEAT,305.97,3.51,0.002,0.004,87.17
Total,19497752.66,82687.41,100.0,100.0,235.8
