Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
GUARGUM,406311.81,21287.01,1.363,18.094,19.09
BASMATI RICE,3459898.93,19409.39,11.609,16.498,178.26
BUFFALO MEAT,1108662.35,17420.24,3.72,14.807,63.64
NON BASMATI RICE,6687990.85,14448.81,22.439,12.282,462.87
WHEAT,6514810.6,10529.0,21.858,8.95,618.75
MAIZE,4788328.25,7096.34,16.066,6.032,674.76
GROUNDNUTS,535637.36,4065.36,1.797,3.456,131.76
CEREAL PREPARATIONS,293124.3,2240.76,0.983,1.905,130.81
FRESH ONIONS,1666872.6,1966.63,5.593,1.672,847.58
ALCOHOLIC BEVERAGES,264466.08,1909.37,0.887,1.623,138.51
MISCELLANEOUS PREPARATIONS,293958.19,1712.06,0.986,1.455,171.7
"PROCESSED FRUITS, JUICES & NUTS",223074.34,1452.59,0.748,1.235,153.57
DAIRY PRODUCTS,87824.21,1412.1,0.295,1.2,62.19
OTHER FRESH VEGETABLES,724230.51,1368.51,2.43,1.163,529.21
PROCESSED VEGETABLES,193099.15,1357.58,0.648,1.154,142.24
PULSES,202751.36,1285.0,0.68,1.092,157.78
FRESH GRAPES,140966.57,982.04,0.473,0.835,143.54
JAGGERY & CONFECTIONERY,246566.93,917.6,0.827,0.78,268.71
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),238624.89,856.59,0.801,0.728,278.58
OTHER FRESH FRUITS,256249.43,726.88,0.86,0.618,352.53
MANGO PULP,147815.69,608.56,0.496,0.517,242.89
MILLED PRODUCTS,273584.39,603.61,0.918,0.513,453.25
CASEIN,13650.78,556.26,0.046,0.473,24.54
POULTRY PRODUCTS,577864.27,494.93,1.939,0.421,1167.57
OTHER CEREALS,268384.08,440.0,0.9,0.374,609.96
FLORICULTURE,27121.86,423.45,0.091,0.36,64.05
SHEEP/GOAT MEAT,14890.82,418.31,0.05,0.356,35.6
NATURAL HONEY,25780.7,356.32,0.086,0.303,72.35
FRUITS & VEGETABLES SEEDS,17168.0,347.72,0.058,0.296,49.37
COCOA PRODUCTS,19083.34,293.92,0.064,0.25,64.93
FRESH MANGOES,55584.99,264.72,0.186,0.225,209.98
WALNUTS,5295.09,199.82,0.018,0.17,26.5
ALBUMIN( Eggs & Milk ),1663.83,90.16,0.006,0.077,18.45
Millet,16322.64,39.6,0.055,0.034,412.19
OTHERS (BETEL LEAVES & NUTS),5455.67,35.15,0.018,0.03,155.21
ANIMAL CASINGS,602.53,18.37,0.002,0.016,32.8
PROCESSED MEAT,796.92,9.37,0.003,0.008,85.05
OTHER MEAT,180.75,2.16,0.001,0.002,83.68
Total,29804695.06,117646.29,100.0,100.0,253.34
